Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
267,The cost of a car is 400 percent greater than the cost of a bike. If there is an increase in the cost of the car of 15 percent and that of bike 20 percent. Then the total increase in the cost of 5 cars and 10 bikes is:,14 3/7 percent,15 3/7 percent,16 3/7 percent,None of these,C
269,What is the value of 5 + 6 × 3 – 2 + 2?,20,23,28,None of these,B
270,A train is 130 m long. It travels at a speed of 45 km/'hr. It crosses a bridge in 30 seconds. The length of the bridge is:,245 m,230 m,140 m,None of these,A
271,"If x percent of 60 = 48, then x = ?",40,60,70,80,D
272,1/1000 = ?,0.001,1.001,2.001,3.001,A
273,√4225 = ?,45,65,75,55,B
275,"Out of three given numbers, the first number is twice the second and thrice the third. If the average of these three numbers is 154, then what is the difference between the first and the third numbers?",168,126,52,122,A
276,"Complete the series: 1, 1, 8, 4, 27, 9, ''''",64,20,60,16,D
278,"In a class, there are 27 students. If there are 7 more girls than boys in the class, how many students are girls?",10,17,23,None of these,B
279,"Complete the series: 1, 3, 7, 15, 31, 63, ''''",123,125,127,129,C
281,"If a line segment is divided into a ratio of 4:6, then the number of division portion is:",6,9,10,18,C
282,"What is the average of 1/2, 5/6, 3/4, 5/12?",07-Aug,02-May,05-Aug,21-Feb,C
284,Solve for ?: √729 - √441 = √? + 1,49,36,25,16,C
285,What is the simplified result of the expression: X+1/7 - X-1/8?,20455,56/1,17533,48/1,A
287,"If the average arithmetic mean of 8, 12, 15, 21, x, and 11 is 17, then what is x?",3,15,17,35,D
