question,option_a,option_b,option_c,option_d,correct_answer,question_type,year,page
43. Which of the following are found in the nucleus?,Lysosomes,Chromosomes,Ribosomes,None of these,B,multiple_choice,2012,169
44. The efficiency of a machine is:,always greater than 100 percent,always less than 100 percent,always 100 percent,None of these,B,multiple_choice,2012,170
"45. Arthur C. Clarke, the famous science fiction author, while working as a radio operator in World War II:",proposed building a space elevator from carbon monofilaments,postulated the existence of extraterrestrial artifacts on the Moon,proposed that a network of satellites in stationary orbit at very high altitudes around the Earth be used to bounce communication signals all over the world,None of these,C,multiple_choice,2012,170
46. Electricity and magnetism are:,two aspects of the same force,completely opposite,Both (a) and (b),None of these,A,multiple_choice,2012,171
47. Which of the following is a part of DNA?,dGTP,dADP,dTMP,None of these,A,multiple_choice,2012,171
48. The Sun produces most of its energy by:,"nuclear fusion, which involves converting H to He","nuclear fission, involving the burning of uranium and plutonium","nuclear fission, involving the combining of uranium and palladium",None of these,A,multiple_choice,2012,171
49. Photography works by:,capturing the souls of the objects being photographed,capturing light reflected from the object being photographed,Both (a) and (b),None of these,B,multiple_choice,2012,172
50. Arachnophobia refers to a fear of:,Spiders,Snakes,Bats,"None of these essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",A,multiple_choice,2012,172
The ozone layer is present about 30 miles (50 km) in atmosphere above the Earth. The Stratum (layer) of atmosphere in which ozone layer lies is called as:,Exosphere,Mesosphere,Stratosphere,Ionosphere,C,multiple_choice,2011,174
The unit of home electricity energy consumption is:,Watt-hour,Kilowatt-hour,Joule-hour,Kilojoule-hour,B,multiple_choice,2011,174
The speed of light in a vacuum is about:,300 million meters per second,300 million meters per hour,,,A,true_false,2011,174
A unit of length equal to the average distance between the Earth and the Sun is called:,Light year,Astronomical unit,Parsec,Parallax,B,multiple_choice,2011,175
The temperature of liquid nitrogen is:,-32°C,-80°C,-100°C,-196°C,D,multiple_choice,2011,175
Which rocks are formed by the alteration of pre-existing rocks by great heat or pressure?,Igneous rocks,Sedimentary rocks,Metamorphic rocks,Acid rocks,C,multiple_choice,2011,175
"The usual raw material for ceramics, generally found beneath the topsoil, is:",Sand,Silt,Clay,Plaster of Paris,C,multiple_choice,2011,176
The nervous system in humans consists of:,Brain and spinal cord,Brain and nerves,Spinal cord and nerves,"Brain, spinal cord, and nerves",D,multiple_choice,2011,176
The number of bones in the human body is:,200 bones,202 bones,204 bones,206 bones,D,multiple_choice,2011,177
10. The building blocks of elements are called:,Atoms,Molecules,Compounds,Isotopes,A,multiple_choice,2011,177
12. Information can be sent over long distances in the form of:,Electrical signals through wires,Light signals through optical fibers,Radio waves through air,Any combination of these three,D,multiple_choice,2011,178
13. Which one of the following is an alkali?,Water,Vinegar,Lemon juice,Slaked lime,D,multiple_choice,2011,178
"14. In the human eye, the light-sensitive layer made of specialized nerve cells, rods, and cones is called:",The pupil,The cornea,The sclera,The retina,D,multiple_choice,2011,178
15. Plants growing on other plants are called:,Saprophytes,Parasites,Epiphytes,Pathogens,C,multiple_choice,2011,179
16. Computers can:,Add and subtract information only.,"Add, subtract, and sort information only.","Add, subtract, sort, and classify information.",Add and subtract but cannot sort information.,C,multiple_choice,2011,179
17. One of the fundamental characteristics of living organisms is:,Photosynthesis,Digestion,Excretion,Metabolism,D,multiple_choice,2011,180
18. The density of water is greatest at:,32°C,0°C,4°C,100°C,C,multiple_choice,2011,180
19. Ice can be changed to water by:,Adding more water molecules,Changing the motion of the water molecules,,,B,true_false,2011,180
20. Information can be stored in:,Audio and video cassettes,Floppy and compact discs,Hard disks,All of these options,D,multiple_choice,2011,181
21. The time light takes from the Sun to reach the Earth is:,8 minutes,25 minutes,45 minutes,60 minutes,A,multiple_choice,2011,181
"22. A magnet always points in the same direction, if moved freely, i.e., towards the north and south poles, because:",Gravitational field,A lot of metal is deposited at the north and south poles,Due to the attraction of the north pole and repulsion of the western pole,The Earth is a huge magnet,D,multiple_choice,2011,181
23. Chemicals used to kill weeds are called:,Insecticides,Fungicides,Herbicides,Fumigants,C,multiple_choice,2011,182
"24. To measure the specific gravity of milk, the instrument used is:",Hygrometer,Barometer,Lactometer,Hydrometer,C,multiple_choice,2011,182
25. IBM stands for:,International Business Machines,International Big Machines,Interrelated Business Machines,Interrelated Big Machines,A,multiple_choice,2011,183
26. The telephone was invented in 1876 in America by:,Marconi,Galileo,John Logie Baird,Graham Bell,D,multiple_choice,2011,183
27. The study of how plants and animals interact with one another and with the non-living environment is called:,Ecosystem,Sociology,Ecology,Habitat,C,multiple_choice,2011,183
28. An eclipse of the Sun occurs when:,the Moon is between the Sun and the Earth,the Sun is between the Earth and the Moon,the Earth is between the Sun and the Moon,the Earth casts its shadow on the Moon,A,multiple_choice,2011,184
29. The ozone layer protects the Earth from rays sent by the Sun:,Ultraviolet rays,Infrared rays,Gamma rays,Radioactive rays,A,multiple_choice,2011,184
"30. As per eating habits, squirrels are:",Frugivorous,Herbivorous,Carnivorous,Omnivorous,D,multiple_choice,2011,184
31. The age of the solar system is:,4.5 billion years,5.5 billion years,6.5 billion years,7.5 billion years,A,multiple_choice,2011,185
32. The speed of sound in dry air at 20°C is about:,143 meters per second,243 meters per second,343 meters per second,443 meters per second,C,multiple_choice,2011,185
33. The Sun is a:,Planet,Comet,Satellite,Star,D,multiple_choice,2011,186
34. Deficiency of vitamin C in the human body causes a deficiency disease called:,Beriberi,Night blindness,Rickets,Scurvy,D,multiple_choice,2011,186
"36. The cytoplasm consists of several types of structures, which are called:",Protoplasm,Nucleus,Cytochromes,Organelles,D,multiple_choice,2011,187
37. The boiling of an egg is a change which is:,Physical,Chemical,Physiological,Morphological,B,multiple_choice,2011,187
38. Polyamides are synthetic polymers commonly known as:,Synthetic rubber,Nylon,Cellulose,Protein,B,multiple_choice,2011,187
39. The planet of the solar system which has the maximum number of moons is:,Jupiter,Venus,Saturn,Uranus,C,multiple_choice,2011,188
40. Light from the Sun travels a distance before it reaches the Earth:,50 Million km,100 Million km,150 Million km,200 Million km,C,multiple_choice,2011,188
41. Water loss from leaves through stomata is called:,Evaporation,Transpiration,Evapotranspiration,Respiration,B,multiple_choice,2011,189
42. Erythrocytes are also called:,Red blood cells,White blood cells,Platelets,Plasma,A,multiple_choice,2011,189
43. Which one of the following statements is true?,Gases do not conduct heat,The best conductors are non-metals,Conduction currents occur only in liquids,A vacuum cannot conduct heat,D,multiple_choice,2011,189
44. An electric current can produce:,Chemical effect,Magnetic effect,Heating effect,All of these three,D,multiple_choice,2011,190
45. Man belongs to the family:,Felidae,Hominidae,Mammalia,Primataceae,B,multiple_choice,2011,190
"46. When sound is reflected from the floor, ceiling, or a wall, it mixes with the original sound and changes its complexion; it is called:",Sound,Echo,Reverberation,Noise,C,multiple_choice,2011,190
47. The most suitable thermometer for measuring the boiling point of water is:,Mercury thermometer,Alcohol thermometer,Bimetallic thermometer,Liquid crystal thermometer,A,multiple_choice,2011,191
"48. In a DNA molecule, the rule for base pairing is:",Adenine always binds with thymine and cytosine with guanine,Adenine always binds with cytosine and thymine with guanine,Adenine always binds with guanine and cytosine with thymine,Adenine always binds with uracil and cytosine with guanine,A,multiple_choice,2011,191
"49. If an alkali is slowly added to an acidic solution, the pH of the acidic solution will:",Increase,Decrease,Increase to 7 and then decrease,Decrease to 7 and then increase,A,multiple_choice,2011,192
50. The structure of DNA was elaborated by Watson and Crick in:,in 1909,in 1923,in 1945,"in 1953 essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",D,multiple_choice,2011,192
Hepatitis A is transmitted to different individuals by:,Water,Sneezing,Spit,Feces,A,multiple_choice,2010,194
The deepest place on Earth is:,Trench,Mariana Trench,Mangrove,Groove,B,multiple_choice,2010,194
"When a ray of sunlight enters a dark room, its straight path becomes visible because of dust particles hanging in the air. It is because light is:",Visible,Transparent,,,A,true_false,2010,194
The magnifying power of a simple microscope can be increased by:,Increasing the focal length of the lens,Decreasing the focal length of the lens,Lens of large aperture,Lens of short aperture,B,multiple_choice,2010,195
Which of the following types of food may reduce the risk of colon cancer?,Simple carbohydrates,Polyunsaturated fats,Fiber,Cholesterol,C,multiple_choice,2010,195
Myopia is a defect of the human eye. It can be corrected by using a lens called:,Convex lens,Concave lens,Cylindrical lens,Plano-convex lens,B,multiple_choice,2010,195
Which of the following lists the four stages of food processing in order?,"Ingestion, digestion, absorption, elimination","Digestion, ingestion, absorption, elimination","Ingestion, absorption, elimination, digestion","Absorption, digestion, ingestion, elimination",A,multiple_choice,2010,196
"The instrument which is specially designed for recording earthquake waves is called a seismograph, which measures earthquake waves on a:",Diatonic scale,Fahrenheit scale,Richter scale,Celsius scale,C,multiple_choice,2010,196
"In a fission nuclear reaction, a heavy nucleus breaks up into smaller nuclei, whereas in another nuclear reaction, two or more than two possible nuclei are fused to form a heavy nucleus. This nuclear reaction is called:",Chemical Reaction,Nuclear reaction,Fission nuclear reaction,Fusion nuclear reaction,D,multiple_choice,2010,197
"10. A nuclear reactor is a device used to carry out a controlled nuclear reaction, whereas a GM counter is a device used to detect:",Current,Voltage,Nuclear Radiation,Power,C,multiple_choice,2010,197
11. Cusec is a unit of:,Area,Time,Distance,None of these,D,multiple_choice,2010,197
12. A time can come when we will be able to design a machine which can go on working forever without the expenditure of energy. Is it possible?,No,Yes,In due course of time,Very soon,A,multiple_choice,2010,198
13. Which one of the following planets has the largest number of natural satellites or moons?,Jupiter,Mars,Saturn,Venus,C,multiple_choice,2010,198
14. What is the only source of new alleles?,Crossing over,Independent assortment,Mutation,Fertilization,C,multiple_choice,2010,199
15. Light-year is a unit of:,Distance,Time period,Light intensity,Time,A,multiple_choice,2010,199
16. The energy needed to fuel essential body processes is called:,Essential nutrient level,Basal metabolism,None of these,Recommended daily allowance,B,multiple_choice,2010,199
17. Inhaled air passes through which of the following last?,Bronchiole,Larynx,Pharynx,Trachea,A,multiple_choice,2010,200
18. Fossils found in the lowest geological strata are generally most:,Advanced,Complex,Primitive,Specialized,C,multiple_choice,2010,200
"19. In humans, most nutrient molecules are absorbed by the:",small intestine,stomach,liver,large intestine,A,multiple_choice,2010,200
20. A lactometer is a type of hydrometer which is used to measure the specific gravity of:,Honey,Water,Milk,Olive oil,C,multiple_choice,2010,201
21. The twinkling of stars is caused by:,Reflection of light,Polarization of light,Refraction of light,Interference of light,C,multiple_choice,2010,201
22. Cancer can be treated by:,Antibiotics and vaccines,Radiotherapy and antibodies,Chemotherapy and radiotherapy,Antibodies and chemotherapy,C,multiple_choice,2010,201
"23. The principle used in radar is the same as that of Sonar. In radar we use radio waves, whereas in sonar we use:",Red waves,Infrared waves,Ultrasonic,Supersonic,C,multiple_choice,2018,202
24. A body can escape the gravitational pull of the Earth if it is thrown up with a velocity of:,25 miles per sec,60 miles per sec,7 miles per sec,10 miles per sec,C,multiple_choice,2010,202
"25. A very important practical application of properties of matter is hoeing or ""godi"" practiced by farmers. This property of matter is called:",Elasticity,Stress,Capillarity,Strain,C,multiple_choice,2010,203
"26. Laughing gas has a chemical composition of the following two elements, which are:",Nitrogen + Hydrogen,Nitrogen + Carbon,Nitrogen + Oxygen,Oxygen + Carbon,C,multiple_choice,2010,203
27. Cobalt is a material which is:,Strongly attracted by a magnet,Not attracted by a magnet,Not a magnet,Weakly attracted by a magnet,A,multiple_choice,2010,203
28. German Silver is an alloy of:,Zn + Ni,Cu + Zn,Cu + Ni,None of these,D,multiple_choice,2010,204
29. It is observed that the total pressure exerted by air on a man of average size is around 14.7 lb wt. per square inch. But the man feels quite comfortable. This is because:,an equal and opposite pressure acts from inside,of the height of a man,of gravity,Earth pulls the man upward,A,multiple_choice,2010,204
30. Water is heated in a kettle. The inside water is heated by convection. A person sitting near the fire receives heat by:,Conduction,Convection,Radiation,Reflection,C,multiple_choice,2010,205
"31. In winter, an iron pipe feels colder than a wooden window. This is because wood is a:",Conductor,Non-conductor,Semi-conductor,Not a solid while iron is a solid,B,multiple_choice,2010,205
32. Three elements needed for the healthy growth of plants are:,"N, P, K","N, C, P","N, K, C","N, S, P",A,multiple_choice,2010,205
33. The unit that coordinates different devices of the computer system is:,ALU,Register,Control unit,Logical instruction,C,multiple_choice,2010,206
34. The temperature of a dead body is:,0°C,37°C,Room temperature,Temperature of the place where it is kept,D,multiple_choice,2010,206
35. The measurement of rainfall is made by an instrument known as:,Hydrometer,Barometer,Hygrometer,None of these,D,multiple_choice,2010,206
36. Parsec is a unit of:,Energy,Time,Power,Distance,D,multiple_choice,2010,207
37. Which of the following is an organic molecule needed by the body in small amounts?,Protein,Vitamin C,Zinc,Monosaccharide,B,multiple_choice,2010,207
38. One of the countries through which the equator passes is:,Kenya,Pakistan,Malaysia,Malta,A,multiple_choice,2010,207
39. Animals obtain carbon mainly from:,Starch,Sucrose,Glucose,Glycogen,C,multiple_choice,2010,208
40. Night vision is possible with the help of:,Red light,Violet light,Infrared rays,Ultraviolet light,C,multiple_choice,2010,208
41. Which of the following is a form of sexual reproduction?,Hermaphroditism,Fission,Fragmentation,Budding,A,multiple_choice,2010,209
42. The echo (reflected sound) will be distinctly heard only at ordinary temperatures if the distance of the reflecting surfaces from the source of sound is at least:,1120 ft,120 ft,56 ft,100 ft,C,multiple_choice,2010,209
43. A six-foot-tall lady wants to see her full image in a plane mirror. The minimum length of the mirror will be:,6 feet,12 feet,4 feet,3 feet,D,multiple_choice,2010,209
44. Polygenic characteristics are controlled by:,Dominant genes,Recessive genes,Multiple genes,Mutated genes,C,multiple_choice,2010,210
45. It is possible to recognize a person in the dark by simply hearing their unique voice. It is because of the:,Pitch,Frequency,Time period,Quality,D,multiple_choice,2010,210
46. The most abundant element present in the human body is:,Nitrogen,Oxygen,Carbon,Hydrogen,B,multiple_choice,2010,211
47. The continent Antarctica lies at the:,North Pole,South Pole,Middle of the Earth,Equator,B,multiple_choice,2010,211
48. Evolution can be described as:,A continuing process,A catastrophic event in the past,Static,The attaining of an ideal type,A,multiple_choice,2010,211
49. The planet Mercury completes one rotation around the Sun in:,88 days,365 days,98 days,60 days,A,multiple_choice,2010,212
50. A bronze medal is made up of metals:,"Copper, Zinc","Copper, Nickel","Copper, Tin","Copper, Silver essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",C,multiple_choice,2010,212
The most splendid and the most magnificent constellation on the sky is:,Orion,Columbia,Canis Major,Taurus,A,multiple_choice,2009,214
Laughing gas has the chemical composition of the following two elements:,Nitrogen + Hydrogen,Nitrogen + Carbon,Nitrogen + Oxygen,Oxygen + Carbon,C,multiple_choice,2009,214
Fuel used in a Fast Breeder Reactor is:,Uranium Oxide,Uranium Plutonium carbide,Uranium Plutonium Oxide,Uranium Thorium Oxide,C,multiple_choice,2009,214
Dr. Abdus Salam of Pakistan was one of the contributors to the unification of:,Electromagnetic force and gravitational force,Electromagnetic force and weak nuclear force,Gravitational force and weak nuclear force,Weak nuclear force and strong nuclear force,B,multiple_choice,2009,215
Which of the following is most elastic?,Steel,Rubber,Glass,Sponge,A,multiple_choice,2009,215
Sedimentary rocks are:,Porous,Hard,Rough,Brittle,A,multiple_choice,2009,215
People with the following blood group are considered to be universal recipients:,A+,B+,AB+,O+,C,multiple_choice,2009,216
Which triplet in DNA codes for valine:,CTT,AGU,CAT,AAT,C,multiple_choice,2009,216
Yeast is used in making bread because it produces:,Carbon dioxide,Sugar,Bacteria,Oxygen,A,multiple_choice,2009,216
10. An oasis is associated with:,Glaciers,Desert,Islands or Last Island,Volcanoes,B,multiple_choice,2009,217
11. Chemicals used to kill rats and mice are:,Insecticides,Rodenticides,Fungicides,Herbicides,B,multiple_choice,2009,217
12. The term ''Blue Shift'' is used to indicate:,Doppler effect in which an object appears blue when it is moving towards the observer or the observer is moving towards the object.,Turning a star from white to blue,In future the Sun would become blue,Black hole was blue at its start,A,multiple_choice,2009,218
13. The sensitive layer of the eye is:,Choroids,Sclerotic,Retina,Cornea,C,multiple_choice,2009,218
14. Kilowatt-hour is a unit of:,Power,Electric Current,Energy,Time,C,multiple_choice,2009,218
15. Which of the following explains the reason why there is no total eclipse of the Sun?,Size of the Earth in relation to that of the Moon,Orbit of the Moon around Earth,Direction of rotation of Earth around the Sun,Area of the Sun covered by the Moon,D,multiple_choice,2009,219
16. Television signals are converted into light signals by:,Optical fiber,Transistor,Decoder,Photodiode,D,multiple_choice,2009,219
"17. Fruits without seeds, like bananas, are called:",Seedless fruits,Parthenogenetic fruits,Parthenocarpic fruits,Placental fruits,C,multiple_choice,2009,219
18. Which of the following is not a part of Darwinism?,Overproduction,Natural selection,Inheritance of acquired characters,Competition for survival,A,multiple_choice,2009,220
19. The ozone layer prevents the following radiation from entering the atmosphere:,Infrared,Ultraviolet,X-rays,Gamma rays,B,multiple_choice,2009,220
20. Diamond is a very expensive ornament. It is composed of a single element:,Carbon,Gold,Silver,Platinum,A,multiple_choice,2009,221
21. The founder of modern astronomy was:,Archimedes,William Gilbert,Nicolaus Copernicus,Michael Faraday,C,multiple_choice,2009,221
"22. The phenomenon of Aurora Borealis, the display of red and green lights in the northern hemisphere, is due to radiations from:",Ionosphere,Troposphere,Mesosphere,Stratosphere,A,multiple_choice,2009,221
23. The science which deals with the study of manners and customs of people is:,Ethnology,Morphology,Ethics,Genetics,A,multiple_choice,2009,222
24. The number of spark plugs needed in a diesel engine is:,two,three,zero,four,C,multiple_choice,2009,222
25. Bronze is an alloy of:,Copper and Zinc,Tin and Zinc,Copper and Tin,Iron and Zinc,C,multiple_choice,2009,222
26. Which of the following layers make radio transmission possible?,Troposphere,Ionosphere,Mesosphere,Stratosphere,B,multiple_choice,2009,223
27. What is the chance of a diabetic baby being born to parents both heterozygous and normal?,Zero,1/4 percent,1/2 percent,3/4 percent,B,multiple_choice,2009,223
"28. ""Black holes"" refer to:",Holes occurring in heavenly bodies,Bright spots on the Sun,Collapsing objects of high density,Collapsing of low density,C,multiple_choice,2009,224
29. Study of life in outer space is known as:,Endobiology,Exobiology,Neurobiology,Neobiology,B,multiple_choice,2009,224
"30. The position of the Earth in its orbit, when it is at its greatest distance from the Sun causing northern summer, is called:",Aphelion,Perihelion,Perigee,Apogee,A,multiple_choice,2009,224
"31. In a railway track, two rails are joined end to end with a gap in between them because:",Steel can be saved,Accidents due to contraction in winter can be avoided,Air gaps are necessary for bearing the weight of a running train,Accidents due to expansion in summer can be avoided,D,multiple_choice,2009,225
32. The name of the common mineral salt present in sweat is:,Calcium Oxalate,Potassium Sulphate,Sodium Chloride,Iron Sulphate,C,multiple_choice,2009,225
33. The role of biotechnology in the production of food is based on:,Decomposition,Respiration,Digestion,Fermentation,D,multiple_choice,2009,225
34. Name the famous book of Ibn Sina in which he discussed human physiology and medicine:,Al-Qanun,Al-Masudi,New Renaissance,Tadhkira,A,multiple_choice,2009,226
35. Which of the following atmospheric layers help in radio communication?,Exosphere,Ionosphere,Troposphere,Stratosphere,B,multiple_choice,2009,226
36. The half-life of a radioactive element is 8 days. How long does it take to reduce it from 10 mg to 5 mg?,4 days,12 days,16 days,8 days,D,multiple_choice,2009,227
37. The instrument which measures very high temperature is:,Manometer,Thermostat,Chronometer,Pyrometer,D,multiple_choice,2009,227
38. An animal that captures and readily kills living animals for its food is called:,Parasite,Scavenger,Predator,Mammal,C,multiple_choice,2009,227
39. A quartz crystal in quartz watches works on the principle called:,Photoelectric effect,Stark effect,Thermionic effect,Piezoelectric effect,D,multiple_choice,2009,228
40. The orbital period of the planet Mercury around the Sun is:,88 days,365 days,2 years,98 days,A,multiple_choice,2009,228
41. A moderator is used in a nuclear reactor in order to:,Accelerate the neutrons,Slow down the speed of the neutrons,Increase the number of electrons,Decrease the number of electrons,B,multiple_choice,2009,228
42. Eugenics is the study of:,Altering human beings by changing their genetic components,People of European region,Different races of mankind,Genetics of plants,A,multiple_choice,2009,229
43. A hygrometer is used for measuring the:,Speed of sound,Density of milk,Humidity of air,Specific gravity of liquids,C,multiple_choice,2009,229
44. Which form of drug abuse involves the most risk of infection with the HIV (AIDS) virus?,Cigarette smoking,Using alcohol,Injection of heroin,Taking too much aspirin,C,multiple_choice,2009,230
45. Which one of the following is a non-metallic mineral?,Manganese,Magnesium,Gypsum,Bauxite,C,multiple_choice,2009,230
47. Monsoon is caused by:,Seasonal reversal of winds,Revolution of Earth,Movement of clouds,Rise in temperature,A,multiple_choice,2009,231
48. Where do most Asteroids lie?,In an asteroid belt between the orbits of Mars and Jupiter,In an asteroid belt between the orbits of Mars and Venus,In an asteroid belt between the orbits of Jupiter and Venus,Everywhere in the sky,A,multiple_choice,2009,231
49. The chemical name of vinegar is:,Sodium Nitrate,Dilute acetic acid,Chloride of lime,Calcium,B,multiple_choice,2009,231
50. Dry ice is:,Methane hydrate,Liquid Nitrogen,Solid Carbon dioxide,"Frozen Water essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",C,multiple_choice,2009,232
Acquired Immune Deficiency Syndrome (AIDS) is caused by:,Protozoa,Virus,Fungus,Bacteria,B,multiple_choice,2008,234
Atomic bomb is based on the principle of:,Nuclear fusion,Nuclear fission,All of these,None of these,B,multiple_choice,2008,234
Which of the following are two numbers of “Binary Codes”?,0 and 9,1 and 3,0 and 1,9 and 1,C,multiple_choice,2008,234
"Which group of elements in the periodic table show highest first ionization potential, Elements in the:",Left hand top corner,Left hand bottom corner,Upper right corner,None of these,C,multiple_choice,2008,235
What is the primary cause of Acquired Immunodeficiency Syndrome (AIDS)?,Bacteria,Fungus,Parasite,Virus,D,multiple_choice,2008,235
"All of the following are viral diseases, except:",AIDS,Chicken Pox,Cholera,Rabies,C,multiple_choice,2008,235
Energy of a body due to its motion is called:,Heat energy,Kinetic energy,Potential energy,Light energy,B,multiple_choice,2008,236
Which of the following is caused by bacterial infection?,Malaria,Tetanus,Cancer,Rabies,B,multiple_choice,2008,236
1024 bytes equal to:,One kilo bytes,One mega byte,One giga byte,One tera byte,A,multiple_choice,2008,237
10. A bus with 32 data line can transport how many bits at a time?,8091 bits,16 bits,1024 bits,32 bits,D,multiple_choice,2008,237
"11. When AIDS is diagnosed for the cause of AIDS, the patient may live for about:",Ten years,Seven years,Five years,Three years,D,multiple_choice,2008,237
12. Which of the following diseases induces immunity?,Smallpox,Jaundice,Diabetes,Tuberculosis,A,multiple_choice,2008,238
13. One thousand watt power is called as:,0.5 kilowatt,0.8 kilowatt,1.0 kilowatt,1.5 kilowatt,C,multiple_choice,2008,238
14. Which are air pollutants?,Aerosols,Sewage,DDT,Fertilizers,A,multiple_choice,2008,238
15. The device which converts analogue signal to digital signal is called:,Transformer,CPU,Modem,Photodiode,C,multiple_choice,2008,239
16. Bill Gates is more well-known as:,The CEO of Apple Macintosh,The CEO of IBM,The owner of Microsoft Corporation,The inventor of the personal computer,C,multiple_choice,2008,239
17. A moving ball stops due to the action of:,Nuclear Force,Frictional Force,Electric Force,Magnetic Force,B,multiple_choice,2008,239
18. The study of the origin and physical and cultural development of mankind is called:,Toxicology,Herpetology,Anthropology,None of these,C,multiple_choice,2008,240
19. Which of the following is involved in blood clotting?,Sodium,Magnesium,Calcium,Potassium,C,multiple_choice,2008,240
20. The silvered surface of thermos flask prevents transfer of heat by:,Conduction,Convection,Reflection,Radiation,D,multiple_choice,2008,241
21. The gases which are used by divers as an artificial atmosphere are helium and:,Nitrogen,Oxygen,Neon,Carbon monoxide,B,multiple_choice,2008,241
22. The second most abundant metal found in the earth’s crust is:,Iron,Aluminium,,,A,true_false,2008,241
23. Haemophilia means failure of the:,Heart to contract,Kidney to filter,Blood to clot,Stomach to digest,C,multiple_choice,2008,242
24. Ornithology is the science which deals with:,Study of bones,Study of birds,Study of smells,None of these,B,multiple_choice,2008,242
25. The volume percentage of nitrogen in air is:,60 percent,67 percent,74 percent,78 percent,D,multiple_choice,2008,242
26. Argon laser is used for operating the:,Eye cancer,Glaucoma,Kidney stone,Bone disease,A,multiple_choice,2008,243
27. What is used in making of alloys?,Gypsum,Granite,Chromium,Limestone,C,multiple_choice,2008,243
28. Storage batteries commonly contain:,Copper,Mercury,Lead,Iron,C,multiple_choice,2008,244
"29. Generally in a given period in the periodic table, as we move from left to right, the electropositive character of elements:",Increases,Decreases,Neither increases nor decreases,Decreases then increases,B,multiple_choice,2008,244
30. Deficiency of chloride causes the impaired growth in:,Animals,Infants,Plants,Young man,B,multiple_choice,2008,244
31. Biogas is primarily composed of which gas?,Oxygen,Carbon dioxide,Nitrogen,Methane,D,multiple_choice,2008,245
"32. When we move from left to right in second period, the atomic volume of the element:",Increases,Increases with constant state,All of these,None of these,D,multiple_choice,2008,245
33. The liberation of energy in sun is due to:,Fission reaction,Fusion reaction,All of these,None of these,B,multiple_choice,2008,245
34. Water is a universal solvent for what reactions:,Physical,Chemical,Nuclear,Biochemical,D,multiple_choice,2008,246
"35. The major part of natural gas, petroleum and coal consists of:",Carbon dioxide,Chlorine,CFC,Methane,D,multiple_choice,2008,246
36. Radio waves are:,Sound waves,Electromagnetic waves,Water waves,Heat waves,B,multiple_choice,2008,246
37. Iron deficiency causes:,Bone deformity,Irregular heart beat,Tooth decay,Anaemia,D,multiple_choice,2008,247
38. Which one is metal?,Gypsum,Iron,Limestone,Granite,B,multiple_choice,2008,247
"39. For making laser, usually we use:",Uranium,Ruby,Magnesium,Iron,B,multiple_choice,2008,248
40. Which type of Uranium is used in the fission process?,Uranium – 234,Uranium – 235,Uranium – 236,Uranium – 237,B,multiple_choice,2008,248
41. X-rays are produced when a stream of electrons in an X-ray tube:,Hits the glass wall of the tube,Shrikes metal target,,,B,true_false,2008,248
42. Nameplates made of brass get discoloured in air because of the presence of which of the following gases in the air?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen sulphide,D,multiple_choice,2008,249
43. Washing soda in water behaves:,Alkaline,Acidic,Neutral,None of these,A,multiple_choice,2008,249
44. Air contains volume of carbon dioxide approximately:,3 percent,0.33 percent,0.3 percent,0.03 percent,D,multiple_choice,2008,249
45. Which of the following is not caused by bacteria?,Tetanus,Whooping Cough,Pneumonia,Rabies,D,multiple_choice,2008,250
46. Name the unit to express the memory of a computer.,Compiler,Bus,Byte,Clone,C,multiple_choice,2008,250
"47. In the periodic table, elements have been arranged:",In order of increasing volume,In order of increasing atomic number,All of these,None of these,B,multiple_choice,2008,251
48. Which material is used for bleaching paper?,Caustic soda,Sodium,Lime,None of these,D,multiple_choice,2008,251
50. Anaemia is caused in man due to the deficiency of:,Folic acid,Vitamin A,Vitamin B-12,"Iron essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",D,multiple_choice,2008,252
What is Interferon?,Tonic,Antiviral Protein,Carbohydrate,Ore of iron,B,multiple_choice,2007,254
Which of the following diseases is caused by a virus?,Smallpox,Tuberculosis,Malaria,Cholera,A,multiple_choice,2007,254
Malaria is a disease which affects the:,Heart,Lungs,Spleen,Kidney,C,multiple_choice,2007,255
Silicon is a:,Semiconductor,Insulator,Superconductor,Conductor,A,multiple_choice,2007,255
"As the temperature of ice rises, the ice melts and its density:",Decreases,Remains constant,Increases,All of these,C,multiple_choice,2007,255
All forms of energy that we use are ultimately transformed into:,Electrical energy,Heat energy,Light energy,Chemical energy,B,multiple_choice,2007,256
The wave which does not require any medium is:,Sound wave,Air waves,Electromagnetic waves,All of these,C,multiple_choice,2007,256
"The device used for the measurement of current, voltage, and resistance is:",AVOmeter,Galvanometer,Ammeter,Ohmmeter,A,multiple_choice,2007,257
