Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
346,The world's largest computer company by sales is:,Acer,IBM,Microsoft,Apple,D
347,Brain virus was created by _____ brothers.,Pakistani,Italian,Chinese,Japanese,A
348,ARP stands for:,Address resolution protocol,Allied resolution protocol,Address resolution process,Address rectification protocol,A
349,Which generation of computers used transistors for the first time?,Fourth,Third,Second,First,C
350,CRT stands for:,Crystal Ray Tube,Cathode Ray Tube,Cabin Ray Tube,Carbon Ray Tube,B
351,Which one of the following is an input device?,Printer,Scanner,Monitor,Speaker,B
352,Insertion Mode allows you to enter new data at the current position of the cursor.,Word Wrap,Insert Text,Insertion Mode,Overtype Mode,C
353,"In a computer spreadsheet, which is true if the current or active cell is B4 and you pressed the Enter key?",You will be in the cell A1,You will be in the cell B5,You will be in the cell B3,You will be in the cell B6,B
354,What is a Document Outline View in Ms Word?,A preview in a full screen,A preview with margins,A View with a margins and gutter,A view with a structure of heading at various levels,D
355,A bookmark is an item or location in a document that you identify as a name for future reference. Which of the following tasks is accomplished by using bookmarks?,To mark the ending of a paragraph of the document,To add anchors in a web page,To add hyperlinks in a webpage,To quickly jump to a specific location in a document,D
356,What was the HTML editor that was part of Microsoft Office until 2003?,Web page,Front page,Explorer,None of these,B
357,Add or Remove Programs is a(n):,Productivity software,File manager,Utility program,Device driver,C
358,Why are headers and footers used in a Microsoft Word Document?,To enhance the overall appearance of the document,To mark the starting of a page,To make large document more readable,To allow page headers and footers to appear on the document when it is printed,D
359,"To view headers and footers, you must switch to:",Normal view,Print layout view,Print preview mode,Both B & C,D
360,Programmes written to make computers function in a desired way are called:,Codes,Instructions,Hardware,Software,D
361,Who is considered the father of the Internet?,Chares Babbage,Vint Cerf,Denis Riche,Martin Cooper,B
362,A computer cannot function without:,Microsoft Office,Operating System,Internet Connector,Antivirus Protection,B
363,The unit of measurement of a word length is:,Metre,Byte,Bit,Millimetre,C
364,"In Excel, columns are labelled as ______.","A, B, C","A1, A2, A3","1, 2, 3","$A1, $B2",A
365,You cannot close the MS Word application by:,Choosing File menu then Exit submenu,Press Alt+F4,Click X button on the title bar,"From File menu, choose Close submenu",D
366,Which language does MS-Word use to create Macros?,Visual C++,Visual Java,Visual Basic,None of the above,C
367,Window key + U:,Show system properties,Utility Manager,Show Desktop (toggle),Lock Desktop,B
368,What is the function of CTRL+R in Microsoft Word?,Open the Print dialog box,Update the current Web page,Close the current window,Right-align the selected paragraph or text,D
369,In a PowerPoint presentation:,Sound clips can be inserted but not movie clips,Movie clips can be inserted but not sound clips,Both cannot be inserted,Both can be inserted,D
370,ALU and Control Unit jointly known as:,RAM,ROM,CPU,PC,C
371,"Using the Find command in Ms Word, we can search for:",Characters,Format,Symbol,All of the above,D
372,Which toolbar has a slide design option in MS PowerPoint?,Drawing toolbar,Standard toolbar,Formatting toolbar,None of these,D
373,Cray T90 is an example of:,IBM,Hybrid computer,Supercomputer,Personal computer,C
374,A single packet on a data link is known as a:,Path,Frame,Block,Group,B
375,Which of the following is a programming language?,Lotus,Pascal,MS-Excel,Netscape,B
376,Which one of the following page orientations by default is used in MS Word while printing?,Regular,Standard,Portrait,Plain,C
377,"In Microsoft Word, the Text boundary can be displayed or hidden from:",Customize from Tools menu,Auto text option from Insert menu,Options from Tools menu,All of above,C
378,"In MS Word, a tab stop position cannot be the following alignment:",Decimal Alignment,Center Alignment,Bar Alignment,Justify Alignment,D
379,The process of verifying the identity of user is termed as:,Validation,Authentication,Identification,Verification,B
380,The digital signals can be represented by:,0 and 1,Binary Codes,High and Low,All of Above,D
381,User-developed instructions for Excel are called ____?,Program,Macros,Procedure,All of these,B
382,Ctrl + K Shortcut is used in Microsoft Word to:,Insert Page Number,Insert Hyperlink,Insert Header,Insert Footer,B
383,An operating system is a:,Personal software,System software,Network system,Computer system,B
384,"In PowerPoint, the Header and Footer button can be found on the:",Home tab,Insert tab,Draw tab,None of these,B
385,"""Disk Cleanup"" is a(n):",Device Driver,Productivity driver,File Manager,Utility Manager,D
386,"In which menu do you find slide design, slide layout in PowerPoint?",Slide show tab,Design tab,Both A and B,None of these,B
387,Slide show options available to the presenter include all of the following except:,Transitions command,Speaker notes command,Meeting reminder command,Navigation commands,A
388,What type of resource is most likely to be a shared common resource in a computer Network?,Printers,Speakers,Floppy disk drives,None of the above,A
389,"In MS Word, which shortcut key is used for Redo?",CTRL+Z,CTRL+Y,CTRL+W,CTRL+L,B
390,"The father of the ""C"" programming language is:",Dennis M Ritchie,Prof John Keenly,Thomas Kurtz,Bill Gates,A
391,"In Microsoft Word, when the user is reading a document on the screen and wants to hide all other screen elements, we choose:",Print layout,Full screen reading view,Web layout view,None of these,B
392,The unit that controls all parts of the computer is the:,CPU,ALU,Registers,None of these,A
393,Which devices are used to back up data?,Floppy disk,Hard disk,CD,All of these,D
394,Which is a type of port?,Serial,Parallel,AGP,All of these,D
395,HTTP stands for:,Hypertext transfer processor,Hypertext Transfer Protocol,High transfer protocol,None,B
396,A CPU contains:,A card reader and a printing device,An analytical engine and a control unit,A control unit and an arithmetic logic unit,An arithmetic logic unit and a card reader,C
397,RAM stands for:,Random Access Memory,Random Analysis,Read Able Memory,Random Available Memory,A
398,"In mathematics, a solution to an equation that emerges from the process of solving the problem but is not a valid solution to the problem is called an ____ solution:",Homogeneous,Heterogeneous,Extraneous,Identical,C
399,MAN stands for:,Metropolitan Area Number,Metro Area Network,Metropolitan Area Network,None of these,C
400,"In an e-mail address, the name of the email service provider comes after the ____ sign.",&,@,_,#,B
401,Which are low-level computer languages?,Machine,Assembly,Both A & B,None of these,C
402,Which menu do you choose to shade words and a paragraph?,"Format, borders and shading","Insert, borders and shading","View, shading",None of the above,A
403,"In the context of Microsoft Word, there is a feature called 'Gutter Margin'. What is this feature used for?",Improves the clarity of graphics and images,Give provision for better document binding,Improve the clarity of the printed text,Facilitate the insertion of page numbers,B
404,The shortcut to add a new slide in PowerPoint is:,Ctrl+Z,Ctrl+M,Ctrl+N,Ctrl+O,B
405,A hybrid computer _____.,Resembles digital computer,Resembles analogue computer,Resembles both a digital and analogue computer,None of these,C
406,A computer on the internet is identified by its:,E-mail Address,Street Address,Login Password,IP Address,D
407,"In a network with 25 computers, which topology would require the most extensive cabling?",Star,Mesh,Bus,None of the above,A
408,Linus Torvalds developed which of the following systems?,LINUX,IOS,UNIX,Windows,A
409,What is placed to the left of the horizontal scroll bar in Ms Word?,Tab stop buttons,View buttons,Split buttons,Indicators,B
410,"To select multiple cells, rows, or columns in a table that are not adjacent to one another, select the first cell and then hold down the Ctrl key while selecting the next cell, row, or column.",Alt,Shift,Enter,Ctrl,D
411,You can embed an MS-Organization Chart in a slide by:,Clicking the object command on the edit menu,Clicking the object command on the edit menu,"Clicking the insert new slide button the standard toolbar, then double clicking the organization chart button on the formatting toolbar",Clicking the MS-Organization Chart button on the standard toolbar,C
412,Which software is used to access the World Wide Web (www)?,Word Processor,Database Management System,Spreadsheet Software,Web Browser,D
413,What is Fisheye degree view?,90 Degree,180 Degree,360 Degree,None of above,B
414,Cropping is related to:,Image,Document,File,None of these,D
415,Which of the following parts of the CPU controls the sequence of their instructions?,AU,CU,LU,ALU,B
416,The symbols used in an assembly language are:,Code,Assembler,Mnemonics,All of the Above,C
417,A character that is raised and smaller above the baseline is known as:,Raised,Outlined,Superscript,Subscript,C
418,Which of the following is a first-generation computer?,EDSAC,IBM-1401,CDC-1604,ICL-2900,A
419,"'The ""Add New Hardware"" option exists in:",Title bar,Status bar,Control Panel,Taskbar,C
420,"To access the font dialogue box directly in PowerPoint, which shortcut key is used?",Ctrl + C,Ctrl + R,Ctrl + E,Ctrl + T,D
421,Which of the following print commands should be selected to view the whole document before printing?,Print Layout,Print Design,Print All,Print Preview,D
422,Which shortcut key is used to insert a new slide in a PowerPoint presentation?,Ctrl + S,Ctrl + M,Ctrl + N,Ctrl + B,A
423,Who has been called the world's first Lady computer programmer?,Ada Lovelace,Allegra Byron,Lady Augusta,Allegra Noel-Byron,A
424,Which domains are used by profit business?,.org,.edu,.net,.com,D
425,Components of a computer system are:,Hardware,Software,Applications,Both A and B,B
426,Which key is used to save a document in MS Office Word?,Ctrl + B,Ctrl + N,Ctrl + F,Ctrl + S,D
427,COBOL is an acronym for:,Common business-oriented language,Computer business-oriented language,Common business operated language,Common business organized language,A
428,____ is the set of instructions given to the computer to perform a specific task.,Monitor,Hardware,Software,Printer,C
429,The shortest key for undo is:,Ctrl + U,Ctrl + Z,Ctrl + O,Ctrl + D,B
430,CTRL+B is used for:,Cut,Bold,Paste,Redo,B
431,Which key deletes the character to the left of the cursor?,End,Backspace,Home,Delete,B
432,Which of the following allows you to select more than one slide in a presentation?,Alt + Click each slide,Shift + drag each slide,Shift + Click each slide,Ctrl + Click each slide,D
433,What category of web-based system would you assign to discussion groups?,Collaborative work,Online communities,Web portals,Workflow-oriented,B
434,"What type of software is a ""printer driver""?",Application Software,System Software,Utility Software,None of Above,B
435,A search engine uses software called ____ to search documents on the internet.,Wikipedia,Dark web,Spider,None of these,C
436,Drop cap means?,Small caps,Title caps,All caps,None of the above,D
437,__________ is used as a disk scanner in Microsoft Windows.,Disk Cleanup,Disk Defragmenter,Disk Cleanout,Disk Cleaning,B
438,"The Microprocessor is the __________ of the computer, and it performs all the computational tasks.",main,heart,important,None of these,B
439,What is the term used when you press and hold the left mouse key and move the mouse around the slide?,Highlighting,Dragging,Selecting,Moving,B
440,"By default, on which page is the header or the footer printed in an Ms Word Document?",On the first page,On an alternate page,On every page,None of the above,C
441,"In MS Word, which of the following is used to correct spelling or grammar errors?",AutoEntry,AutoCorrect,AutoAdd,AutoSpell,B
442,Which of these terms do we use when an image in a clip art changes the direction that it was originally facing?,Group,Rotate,Flip,B and C,C
443,Which of the following can you paste selectively using the Paste Special command?,Validation,Formats,Formulas,All of these,D
444,Add or Remove Programs is a(an):,Productivity software,File manager,Utility program,Device driver,C
445,What is the shortcut key for a page break in MS Word?,Ctrl + Enter,Ctrl + Space,Shift + Enter,None of these,A
446,The default font for Microsoft Word is:,Times New Roman,Calibri,Verdana,Helvetica,B
447,The common name for the crime of stealing passwords is:,Spooling,Spoofing,Hacking,None of these,B
448,Which program is run by BIOS to check hardware components are working properly while the computer is turned on?,DMOS,CMOS,POST,None of these,C
449,URL is an abbreviation for:,Universal Resource Locator,Uniform Resource Locator,Universal Reuse Locator,None of the above,B
450,You can edit existing Excel data by pressing the F2 key.,F1 Key,F2 Key,F3 Key,F4 Key,B
451,"To stop a slideshow in MS PowerPoint, which of the following options is correct?",Press F2,Press CTRL,Press Escape,Press F5,C
452,Every web page has a unique address called:,HTTP,URL,HTML,DNS,B
453,Supercomputer is the largest computer.,Mini computer,Micro computer,Mainframe computer,Super computer,D
454,The keyboard F12 key in Ms Word opens a:,Save As dialog box,Open dialog box,Save dialog box,Close dialog box,A
455,A pixel is ______.,A computer program that draws a picture,A picture stored in secondary memory,The smallest resolvable part of a picture,Soul,C
456,The primary purpose of an operating system is:,To make the most efficient use of the computer hardware,To allow people to use the computer,To keep system programmers employed,To make computers easier to use,A
457,Which menu bar selection would you access to open a file?,Option,Help,View,None of these,D
458,The process to remove errors in a program is called:,Compiling,Executing,Bug,Debugging,D
459,Which number key is used with Shift to type percent?,4,5,6,7,B
460,The Mac operating system is developed by which company?,Google,Apple,Microsoft,None of these,B
461,What is a computer called if it has more than one processor?,Uni-process,Multiprocessor,Multi-threaded,Multi-programming,B
462,What is the name for a webpage address? Select from the following:,Directory,Domain,URL,Protocol,C
463,A hybrid computer:,Resembles a digital computer,Resembles an analogue computer,Resembles both a digital and an analogue computer,None of these,C
464,'A joystick is an _ device:,Input,Output,Storage,Processing,A
465,The shortcut key to paste copied text is:,Ctrl + V,Ctrl + B,Ctrl + O,Ctrl + N,A
466,What does Ctrl + = key effect?,Superscript,Subscript,All caps,Shadow,B
467,"To send audio, video and text we use:",Email,YouTube,MS Word,None of these,A
468,"When a hyperlink is created, Word formats the Web address as:",Italicized and colored red,Italicized and colored blue,Underlined and colored red,Underlined and colored blue,D
469,"The ""Mail Merge"" tab is in?",Combining,Mailing,Registers,None of these,B
470,Select the example of connectivity?,Floppy Disk,Internet,Data,Power card,B
471,"In computing, what does DOS stand for?",Data Only System,Disk Only System,Data Operating System,Disk Operating System,D
472,When a file is saved for the first time:,A copy is automatically printed,It must be given a name to identify it,It does not need a name,It only needs a name if it is not going to be printed,B
473,What is defined by the handout master?,Layout of handout,Layout of design,Layout of slide,Layout of template,A
474,The PowerPoint view that displays only text (title and bullets) is:,Slide show,Slide sorter view,Notes page view,Outline view,D
475,What is the function of the IF function in Excel?,To perform a logical test and return a value based on the result,To add up a range of cells,To find the average of a range of cells,To count the number of cells in a range,A
476,The shortcut key for 1.5 line spacing is:,Ctrl+ 3,Ctrl+ 4,Ctrl+ 6,Ctrl+ 5,D
477,The first web browser is:,Nexus,Netscape,Internet explorer,Collabra,A
478,The smallest meaningful unit of data in a database is called:,Character,Record,Byte,Field,D
479,A set of processes is deadlocked if:,Each process is blocked and will remain so forever,Each process is terminated,All processes are trying to kill each other,None of these,A
480,Changing the appearance of a document is called:,Proofing,Formatting,Editing,None of above,B
481,Who is the father of Computer science?,Allen Turing,Charles Babbage,Simur Cray,Augusta Adaming,A
482,Which of the following is not a binary number?,1,101,202,110,C
483,UNIVAC is:,Universal Automatic Computer,Universal Array Computer,Unique Automatic Computer,Unvalued Automatic Computer,A
484,"When sharing data in Office, the source document is the document in which the data was first entered.",Source,Destination,Original,Primary,A
485,"In MS Excel 2016, we can go to cell A1 by pressing:",Ctrl + Home,Home,Shift + Home,Alt + Home,A
486,The ALU and CU are components of:,ROM,CPU,RAM,CAD,B
487,The action button in PowerPoint is:,End,Home,Tab,All of these,D
488,What type of virus uses computer hosts to reproduce itself?,Time bomb,Worm,Melissa virus,Macro virus,B
489,"By default, the orientation of a document is ______ when printing.",Portrait,Landscape,Page Setup,Print Preview,A
490,Computer spreadsheet capability to allow a pie chart to be generated from data in spreadsheet cells is termed as:,Decoration,Data appearance,Functions,Charting,D
491,Who invented the difference engine and analytical engine?,Vint cerf,Mark zukerberg,Charles Babbage,None,C
492,The output shown on the computer monitor is called:,Hard copy,Print copy,Screen copy,Soft copy,D
493,A line break character is a formatting mark at the end of a line that moves the insertion point to the beginning of the next physical line.,Paragraph break character,Nonbreaking space,Line break character,Nonbreaking hyphen,C
494,Which shortcut key combination resets highlighted text to the default font in MS Word?,Ctrl+Backspace,Ctrl+Spacebar,Ctrl+R,None of these,B
495,The Column Command in Ms Word is located on the Page Layout tab.,Insert,Home,View,Page layout,D
496,Which key is used for find in Excel?,CTRL+C,CTRL+F,ALT+SHIFT+D,ALT+SHIFT+F,B
497,The shortcut key for undo is:,CTRL+U,CTRL+D,CTRL+Z,CTRL+O,C
498,Who invented the punched card to create patterns in fabric woven on a loom?,Charles Babbage,Joseph Jacquard,William Burroughs,Bush,B
499,"If 6n+5, what is the value of ""n""?",Not perfect value,Zero,Perfect value,Can't determine,D
500,Which one is the result of the output given by a computer?,Data,Instruction,Information,None of these,C
501,"To check spelling and grammar, which key is used in MS Word?",F3,F5,F7,F9,C
502,Mainframe computers are of large size.,Micro,Mainframe,Super,Mini,B
503,Which is not a layer of the Operating System?,Kernel,Shell,Application Program,Critical Section,D
504,Which of the following controls the process of interaction between the user and the operating system?,User interface,Language translator,Platform,Screen saver,A
505,Which key is used for pasting the copied text?,Ctrl+C,Ctrl+P,Ctrl+Y,None of these,D
506,MS Word and MS Excel are:,Operating systems,Application Software,High-level language,Low-level language,B
507,The file type .docx indicates the file is a Word document.,.msw,.wor,.wrd,.docx,D
508,"In a computer, the ALU has:",2 units,3 units,4 units,5 units,A
509,You cannot close MS Word application by:,Choosing File menu then Exit submenu,From File menu choose Close submenu,Clicking X button on title bar,None of these,B
510,"In MS Excel, readymade templates are available under the ______ tab.",File,Insert,Design,Page Layout,A
511,A red wavy line under text indicates:,Character mistakes,Grammatical mistakes,Spelling mistakes,Spacing mistakes,C
512,Computer Hard Disk was first introduced in:,Dell,Apple,Microsoft,IBM,D
513,Which of the following are types of sound files?,LOG files,DAT files,WAV files,DRV files,C
514,Which is used for ON/OFF:,Fuse,Switch,Breaker,All of these,B
515,Which key is used for Redo in MS Word?,Ctrl+W,Ctrl+X,Ctrl+Y,None of these,C
516,"____ uses information systems to do an activity cheaper, faster, accurately and consistently.",Genetics,Automation,Automatic,Robotics,B
517,The major language of the World Wide Web is:,HTML,PHP,ASP.NET,Java,A
518,"In Excel, what is a Data Series defined as?",A type of chart,A cell reference,A collection of related data,A division of results,C
519,Instructions are written in machine language as:,English Code,Binary Code,Link Code,Mnemonics,B
520,A webpage has a unique address called:,Domain name,URL,IP address,None of these,B
521,Which feature in Microsoft Word allows a person to do proofing a document and mark suggested editing and deletions?,Proofing,Validation,Track changes,Compare,C
522,What is Linux?,A Malware,An Operating System,An Application Program,An Antivirus,B
523,Which symbol is used to execute formulas in MS Excel?,:,#ERROR!,#,~,B
524,Which one of the following is not a system software?,Utility Software,Driver,Entertainment,Operating system,C
525,Ms Word includes a series of predefined graphics called Clip Art that can be inserted into a Word document.,Clip art,Hyperlinks,Captions,Bookmarks,A
526,"By default, MS-Word automatically saves any document after every:",5 mins,10 mins,15 mins,30 mins,B
527,The Father of computer in Muslims:,Ibn-al-Haitham,Al-Khawarizmi,Ibn-e-Batuta,Al-Beruni,B
528,A program that can destroy all of your computer programs:,Anti-virus,Virus,Switched computer,Dust,B
529,Press the enter key in all of the following circumstances except:,To insert a blank line into a document,When the insertion point reaches the right margin,To begin a new paragraph,In response to certain Word commands,B
530,EEPROM stands for:,Electrically Erasable Programmable Read-Only Memory,Easily Erasable Programmable Read-Only Memory,Electronic Erasable Programmable Read-Only Memory,Erasable Electronic Programmable Read-Only Memory,A
531,ACL stands for:,Access Control List,Access Central List,Access Check List,Adoptic Control List,A
532,We can insert a page number in Microsoft Word at:,Header,Margin,Macros,None of these,A
533,Which of the following are actions you can assign to an action button or slide object?,Run a macro,Play a sound,Hyper link,All of above,D
534,"A master document contains sub-documents, each of which contains a pointer to a file on a disk.",Sub-documents,Hyperlinks,Bookmarks,Placeholders,A
535,Excel displays the current cell's address in the:,Formula Bar,Status Bar,Name Bar,Text Box,C
536,Ctrl + F Shortcut key is used in Ms Word to:,Open Find and Replace Dialog box with activating Find Tab,Open Page Setup Dialog box with activating Layout Tab,Open Font Dialog Box with activating Font tab,Open File Save as Dialog box,A
537,What is the name of the feature that will allow you to take a step backward if you've made a mistake?,Redo,Cancel,Undo,Backspace,C
538,How do you open a presentation in PowerPoint?,Ctrl+N,Ctrl+O,Ctrl+M,None of these,B
539,Into how many generations can a computer be classified?,5,4,3,None of these,A
540,"To change margin settings in Word 2016, click Layout on the menu bar and then point to the Page Margins.",File,Layout,Format,Tool,B
541,FTP stands for:,File Transfer Post,File Transfer Protocol,File Transit Protocol,None of these,B
542,Disk and tape drives are commonly used:,Hard copy,Soft copy,Secondary storage devices,None of the above,C
543,What is the name for a webpage address?,Directory,URL,Domain,Protocol,B
544,A computer program that translates one program instruction at a time into machine language is called ______?,Interpreter,CPU,Compiler,None of these,A
545,Which key is the most suitable reason to use Macros in MS Office.,To Record Sound,To Record Mouse Move,To automate repetitive tasks,To Record Keystroke,C
546,The thin black cross-shaped pointer in MS Excel is used to:,Complete lists and fill patterns,Move a group of cells,Resize,Highlight duplicate cells,A
547,The date and time display on:,Taskbar,Status bar,System tray,Launch pad,C
548,"When three hyphens, underscores, equal signs, asterisks, or number signs are typed and then the enter key is pressed, the Auto Format feature:",Places a border above a paragraph,Creates a numbered list,Changes the characters to an em dash,Creates a bulleted list,A
549,A temporary storage place for information in a computer is called a:,Back Up,Buffer,Binary file,Data recorder,B
550,Which is a key method to make backed-up data safest from unauthorized access in electronic record keeping?,Encrypt your data,Duplicate data,Use reliable hardware,Test your recovery plan,A
551,The computer connected to the internet must have?,Have a unique IP address,be an IBM PC,have a modem connection,be internet compatible,A
552,Which of these is the name of a type of interface that allows a user to type in commands on a keyboard which gives the computer instructions?,Command-line interface (CLI),Graphical user interface (GUI),Touchscreen interface,Drop down menu interface,A
553,What symbol must we use when we enter a formula in MS Excel?,Comma,Equal sign (=),Apostrophe,None of these,B
554,Which of the following is the method by which data is converted from a readable form to an encoded version?,Encryption,Spooling,Censoring,COD,A
555,"In MS Excel, you can use the horizontal and vertical scroll bars to:",Split a worksheet into two panes,View different rows and columns,Edit the contents of a cell,View different worksheets,B
556,Which statement is valid about a computer program?,It is understood by a programmer,It is understood by a user,Both A & B,It is understood by a computer,D
557,What is a note or annotation that an author or reviewer adds to a document:,Header,Footer,Comment,Caption,C
558,"Computers that are used in large organizations such as insurance companies and banks, where many people frequently need to use the same data, are:",Mainframe Computer,Super computer,Hybrid computer,Desktop computer,A
559,Which program is generally used in architectural design?,Excel,PowerPoint,AutoCAD,MS Word,C
560,A(n) Hyperlink appearing on a web page opens another document when clicked.,Anchor,URL,Hyperlink,Reference,C
561,Cache memory acts between:,CPU and Hard disk,RAM and ROM,CPU and RAM,All of these,C
562,A user-interface that is easy to use is considered to be:,User happy,User-friendly,User simple,None of these,B
563,A computer virus is:,A Microorganism,Electromagnetic waves entering a computer through a Network,A useful micro component of a computer,A computer program,D
564,The process of verifying the identity of user is termed as:,Validation,Authentication,Identification,Verification,B
565,A processor is also known as:,CPU,UPS,UPC,PUS,A
566,"In a computer spreadsheet, the value of the formula (7-3)x(1+6)/4 is:",7,1.5,2,12,A
567,The first mechanical calculating machine was made by:,Charles Babbage,Howard Aiken,Blaise Pascal,None of these,C
568,"In MS Excel, which bar is used for formula and data writing?",Formula bar,Menu bar,Title bar,None of these,A
569,Which software is used to open web pages?,Search engines,HTTP,Browser,None of these,C
570,Which of the following is not part of the merge process in Microsoft Word?,Sort the data source records,Merge the two files to print or create a new document,Edit a data source,Format a main document,A
571,All modern computers operate on:,Information,Data,Word,Floppy,B
572,1 byte consists of:,8 bits,16 bits,32 bits,4 bits,A
573,What is the function of the MATCH function in Excel?,It finds the position of a value in a range or array.,It sums a range of values.,It combines text from multiple cells.,It counts the number of cells that meet a condition.,A
574,Which of the following commands is not available in the Tools menu in Ms Word?,Auto summarize,Macros,Auto correct,Auto text,D
575,Which of these will not select all the cells in a document?,Using the Edit - Selection All menu,Pressing Ctrl + A on the keyboard,Clicking three times with the right mouse button in the spreadsheet,None of these,C
576,Which shortcut key inserts a New Slide in a Current Presentation?,Ctrl + N,Ctrl + M,Ctrl + O,None of these,B
577,Which of the following views is the best view to use when setting transition effects for all slides in a presentation?,Slide sorter view,Notes page view,Slide view,Outline view,A
578,Which statement about the Internet is true?,The Internet is a worldwide global system of interconnected computer networks.,The Internet uses the standard Internet protocol TCP/IP.,Both (A) and (B),None of these,C
579,"In Excel, which key is used to Open the Format Cells window?",Ctrl+F10,Ctrl+6,Ctrl+F1,Ctrl+1,D
580,A digitizer is also referred to as a:,Digital audio player,Digital video editor,Input Device,None of these,C
581,Which of the following is the first computer to use the Stored Program Concept?,UNIVAC,ENIAC,EDSAC,None of the above,C
582,The ______ pane cannot be found in PowerPoint.,Clip Art,Word Art,Search results,None of these,C
583,Auto clip-art is a feature in PowerPoint that:,Automatically places clip art in your presentation,Scans your presentation for incorrect spelling in your words on each slide,Scans your presentation for incorrect spelling in Word Art objects,All of above,A
584,Which of the following is used to capitalize the start word of a paragraph?,Enter,Drop Cap,Ctrl,Tab,B
585,What is the full form of G-mail?,Gold Mail,Great Mail,Grooming Mail,Google Mail,D
586,"The computer software company ""Microsoft"" is located in:",Britain,U.S.A.,Japan,Italy,B
587,"In PowerPoint, the difference between Slide Design and AutoContent Wizard is:",Both are the same.,AutoContent Wizard is just the wizard version of Slide Design.,"Slide Design does not provide sample content, but AutoContent Wizard provides sample content too.","Slide Design asks your choice in steps, but AutoContent Wizard does not let you make",B
588,____ is a type of computer memory that can retain stored information even after power is removed.,Volatile memory,Non-volatile memory,Both (A) and (B),None of these,A
589,Why are Drop Caps used in a document?,To drop all the capital letters,To automatically begin each paragraph with a capital letter,To begin a paragraph with a large dropped initial capital letter,None of these,C
590,"In computing, NOS stand for:",Node Open Software,Non-operating Software,Network Operating system,None of these,C
591,Which software is used to convert DOC file into PDF:,Adobe,Spreadsheet,Avast,Data base,A
592,What displays the content of the active cell in Excel?,Name box,Row headings,Formula bar,Taskpane,C
593,The function PROPER(text) means:,Capitalize the first letter of each word in a text string,Capitalize the last letter in a text string,Capitalize all letters in a text string,None of these,A
594,Which of the following Windows versions do not have a Start Button?,Windows Vista,Windows 7,Windows 8,None of these,C
595,Which language is used to create macros in Excel?,Visual Basic,C,Visual C++,Java,A
596,Encryption is a process of encoding data and information into an unreadable form.,Encryption,Decryption,Formatting,Transmission,A
597,The number of columns in MS Excel 2007 is?,16384,15000,17000,20000,A
598,The extra space that is added to the binding side of a page to ensure that the contents are not obscured by binding is called ______ in MS Word.,Indent,Justify,Gutter,Typeface,C
599,"In MS Word, formulas and symbols are used in which menu?",Insert ribbon,Insert menu,'Both A & B,None of these,C
600,Which of the following commands is called a three-finger salute in computers?,Ctrl + Alt + Delete,Ctrl + Shift + Escape,Ctrl + Shift + Enter,Ctrl + Alt + Arrow key,A
601,The default name of a saved document is?,Document 1,Document 2,Document,All of these,A
602,"In MS-Excel, two common wildcard characters that MS-Excel recognizes are:",* and ?,* and >,^ and /,None of these,A
603,The default name of a newly created MS Word File is:,File1,Document1,Untitled1,None of these,B
604,Which function displays row data into columns or column data into rows?,Hyperlink,Index,Transpose,Rows,C
605,What is placed to the left of the horizontal scroll bar?,Indicators,View buttons,Tab stop buttons,Split buttons,B
606,The computer Mouse was invented by ________ in 1964.,Douglas Engelbart,Herman Hollerith,Bill Gates,Allan Shogart,A
607,Ctrl + Right Arrow is used to:,Moves the cursor one word right,Moves the cursor end of the line,Moves the cursor end of the document,Moves the cursor one Paragraph down,A
608,Which view displays the slides on a presentation as miniature representations of the slides in PowerPoint?,Slide show,Slide sorter view,Notes page view,Outline view,B
609,Binary codes are in the form of:,"0, 1",45658,45659,None of these,A
610,Name the type of mouse which uses laser technology to detect the motion over a surface ?,Optical mouse,Mechanical,Opto-mechanical,All of these,A
611,WWWW stands for:,World Wide Web Wireless,World Wide Web Worm,World Wide Wonderful Wine,World Wide Web Wrestling,B
612,What is a slide transition:,Overheads,Letters,A special effect used to introduce a slide in a slide show,The way one slide looks,C
613,A storage device that uses lasers and lights as its technology of reading and writing information is known as:,Magnetic storage,Optical storage,Cloud storage,Paper storage,B
614,Which method is used to connect a remote Computer?,Device,Dial up,Logic Circuit,None of these,B
615,HTML is used for:,View web pages,Write code for developing videos,Developing web pages,None of these,C
616,The On/Off power button is typically located at:,Front of the device,Back of the device,Top of the device,Side of the device,A
617,A hyperlink is used for:,Image,Video,Audio,All of these,D
618,How many steps are there between Start and Finish in the AutoContent Wizard?,3,4,5,6,A
619,"In MS Word, when we apply ""Drop Cap"" on a word, then, by default, the first character of this word drops to:",3 lines,5 lines,2 lines,8 lines,A
620,Multi-user systems provided cost savings for small business because they use a single processing unit to link several dumb terminals.,Personal Computer,Workstations,Dumb Terminals,Mainframes,C
621,Which of the following languages is more suited to a structured program?,PL/1,FORTRAN,BASIC,PASCAL,D
622,"In Microsoft Word, Line spacing can be used to decide on the spacing between lines of a paragraph.",Alignment,Effects,Indentation,Line spacing,D
623,Who is the Current CEO of Microsoft?,Babbage,Bill Gates,Bill Clinton,Satya Nadella,D
624,"By default, the page size of a new document in many regions for MS Word is _____ inches by _____ inches.",8.5 and 11,7.5 and 12,7.5 and 11.5,None of these,A
625,"After creating a table, which of the following is correct:",Fields cannot be added,Fields cannot be deleted,Fields can be added but only once,None of these,D
