
🚀 ENGINEERING MASTER ENGINE (FIXED V3) ACTIVATED
    ✓ Batch [ECAT]: 3 saved (Total: 169)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 178)
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 187)
    ✓ Batch [NET]: 3 saved (Total: 190)
    ✓ Batch [ECAT]: 8 saved (Total: 198)
    ✓ Batch [GIKI_PIEAS]: 7 saved (Total: 205)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 215)
    ✓ Batch [NET]: 12 saved (Total: 227)
    ✓ Batch [ECAT]: 3 saved (Total: 230)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 240)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 250)
    ✓ Batch [NET]: 8 saved (Total: 258)
    ✓ Batch [ECAT]: 11 saved (Total: 269)
    ✓ Batch [GIKI_PIEAS]: 7 saved (Total: 276)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 290)
    ✓ Batch [NET]: 11 saved (Total: 301)

▶ STARTING: Physics -> Measurements (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 74)
    🔄 Switched to: qwen/qwen3-32b
    ✓ Batch [ECAT]: 12 saved (Total: 86)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 95)
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to validate JSON. Please adjust 
    ✓ Batch [NET]: 5 saved (Total: 100)
    ✓ Batch [ECAT]: 9 saved (Total: 109)
    ✓ Batch [GIKI_PIEAS]: 6 saved (Total: 115)
    ✓ Batch [LUMS_SAT]: 4 saved (Total: 119)
    ✓ Batch [NET]: 8 saved (Total: 127)
    ✓ Batch [ECAT]: 10 saved (Total: 137)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 147)
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 156)
    ✓ Batch [NET]: 7 saved (Total: 163)
    ✓ Batch [ECAT]: 6 saved (Total: 169)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 178)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 188)
    ✓ Batch [NET]: 9 saved (Total: 197)
    ✓ Batch [ECAT]: 10 saved (Total: 207)
    ✓ Batch [GIKI_PIEAS]: 6 saved (Total: 213)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 224)
    ✓ Batch [NET]: 6 saved (Total: 230)
    ✓ Batch [ECAT]: 2 saved (Total: 232)
    ✓ Batch [GIKI_PIEAS]: 4 saved (Total: 236)
    ✓ Batch [LUMS_SAT]: 7 saved (Total: 243)
    ✓ Batch [NET]: 11 saved (Total: 254)
    ✓ Batch [ECAT]: 8 saved (Total: 262)
    ✓ Batch [GIKI_PIEAS]: 4 saved (Total: 266)
    ✓ Batch [LUMS_SAT]: 9 saved (Total: 275)
    ✓ Batch [NET]: 3 saved (Total: 278)
    ✓ Batch [ECAT]: 5 saved (Total: 283)
    ✓ Batch [GIKI_PIEAS]: 5 saved (Total: 288)
    ✓ Batch [LUMS_SAT]: 4 saved (Total: 292)
    ✓ Batch [NET]: 3 saved (Total: 295)
    ✓ Batch [ECAT]: 7 saved (Total: 302)

▶ STARTING: Physics -> Vectors and Equilibrium (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 18 saved (Total: 38)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 55)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 74)
    ✓ Batch [NET]: 19 saved (Total: 93)
    ✓ Batch [ECAT]: 17 saved (Total: 110)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 126)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 143)
    ✓ Batch [NET]: 19 saved (Total: 162)
    ✓ Batch [ECAT]: 11 saved (Total: 173)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 190)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 208)
    ✓ Batch [NET]: 16 saved (Total: 224)
    ✓ Batch [ECAT]: 15 saved (Total: 239)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 253)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 270)
    ✓ Batch [NET]: 16 saved (Total: 286)
    ✓ Batch [ECAT]: 14 saved (Total: 300)

▶ STARTING: Physics -> Motion and Force (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 56)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 74)
    ✓ Batch [NET]: 16 saved (Total: 90)
    ✓ Batch [ECAT]: 16 saved (Total: 106)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 120)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 137)
    ✓ Batch [NET]: 16 saved (Total: 153)
    ✓ Batch [ECAT]: 17 saved (Total: 170)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 187)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 197)
    ✓ Batch [NET]: 17 saved (Total: 214)
    ✓ Batch [ECAT]: 12 saved (Total: 226)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 242)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 260)
    ✓ Batch [NET]: 11 saved (Total: 271)
    ✓ Batch [ECAT]: 16 saved (Total: 287)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 307)

▶ STARTING: Physics -> Work and Energy (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 78)
    ✓ Batch [NET]: 19 saved (Total: 97)
    ✓ Batch [ECAT]: 18 saved (Total: 115)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 131)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 149)
    ✓ Batch [NET]: 16 saved (Total: 165)
    ✓ Batch [ECAT]: 20 saved (Total: 185)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 197)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 215)
    ✓ Batch [NET]: 11 saved (Total: 226)
    ✓ Batch [ECAT]: 17 saved (Total: 243)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 258)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 268)
    ✓ Batch [NET]: 16 saved (Total: 284)
    ✓ Batch [ECAT]: 15 saved (Total: 299)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 313)

▶ STARTING: Physics -> Circular Motion (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 77)
    ✓ Batch [NET]: 16 saved (Total: 93)
    ✓ Batch [ECAT]: 18 saved (Total: 111)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 127)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 143)
    ✓ Batch [NET]: 10 saved (Total: 153)
    ✓ Batch [ECAT]: 17 saved (Total: 170)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 187)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 197)
    ✓ Batch [NET]: 14 saved (Total: 211)
    ✓ Batch [ECAT]: 14 saved (Total: 225)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 243)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 262)
    ✓ Batch [NET]: 11 saved (Total: 273)
    ✓ Batch [ECAT]: 12 saved (Total: 285)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 295)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 311)

▶ STARTING: Physics -> Fluid Dynamics (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 78)
    ✓ Batch [NET]: 15 saved (Total: 93)
    ✓ Batch [ECAT]: 16 saved (Total: 109)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 126)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 142)
    ✓ Batch [NET]: 13 saved (Total: 155)
    ✓ Batch [ECAT]: 17 saved (Total: 172)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 189)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 207)
    ✓ Batch [NET]: 20 saved (Total: 227)
    ✓ Batch [ECAT]: 17 saved (Total: 244)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 258)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 268)
    ✓ Batch [NET]: 9 saved (Total: 277)
    ✓ Batch [ECAT]: 11 saved (Total: 288)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 305)

▶ STARTING: Physics -> Oscillations (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 78)
    ✓ Batch [NET]: 19 saved (Total: 97)
    ✓ Batch [ECAT]: 16 saved (Total: 113)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 132)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 150)
    ✓ Batch [NET]: 20 saved (Total: 170)
    ✓ Batch [ECAT]: 19 saved (Total: 189)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 208)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 226)
    ✓ Batch [NET]: 16 saved (Total: 242)
    ✓ Batch [ECAT]: 17 saved (Total: 259)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 276)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 294)
    ✓ Batch [NET]: 16 saved (Total: 310)

▶ STARTING: Physics -> Waves (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 79)
    ✓ Batch [NET]: 20 saved (Total: 99)
    ✓ Batch [ECAT]: 20 saved (Total: 119)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 139)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 158)
    ✓ Batch [NET]: 18 saved (Total: 176)
    ✓ Batch [ECAT]: 18 saved (Total: 194)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 210)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 229)
    ✓ Batch [NET]: 20 saved (Total: 249)
    ✓ Batch [ECAT]: 18 saved (Total: 267)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 285)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 303)

▶ STARTING: Physics -> Physical Optics (0/300)
    ✓ Batch [NET]: 19 saved (Total: 19)
    ✓ Batch [ECAT]: 20 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 57)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 73)
    ✓ Batch [NET]: 20 saved (Total: 93)
    ✓ Batch [ECAT]: 16 saved (Total: 109)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 127)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 138)
    ✓ Batch [NET]: 18 saved (Total: 156)
    ✓ Batch [ECAT]: 14 saved (Total: 170)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 185)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 198)
    ✓ Batch [NET]: 15 saved (Total: 213)
    ✓ Batch [ECAT]: 14 saved (Total: 227)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 242)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 252)
    ✓ Batch [NET]: 14 saved (Total: 266)
    ✓ Batch [ECAT]: 12 saved (Total: 278)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 291)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 302)

▶ STARTING: Physics -> Optical Instruments (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 57)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 74)
    ✓ Batch [NET]: 15 saved (Total: 89)
    ✓ Batch [ECAT]: 18 saved (Total: 107)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 119)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 133)
    ✓ Batch [NET]: 15 saved (Total: 148)
    ✓ Batch [ECAT]: 15 saved (Total: 163)
    ✓ Batch [GIKI_PIEAS]: 11 saved (Total: 174)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 184)
    ✓ Batch [NET]: 11 saved (Total: 195)
    ✓ Batch [ECAT]: 10 saved (Total: 205)
    ✓ Batch [GIKI_PIEAS]: 11 saved (Total: 216)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 228)
    ✓ Batch [NET]: 13 saved (Total: 241)
    ✓ Batch [ECAT]: 12 saved (Total: 253)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 266)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 277)
    ✓ Batch [NET]: 10 saved (Total: 287)
    ✓ Batch [ECAT]: 6 saved (Total: 293)
    ✓ Batch [GIKI_PIEAS]: 11 saved (Total: 304)

▶ STARTING: Physics -> Heat and Thermodynamics (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 17 saved (Total: 37)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 56)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 72)
    ✓ Batch [NET]: 14 saved (Total: 86)
    ✓ Batch [ECAT]: 16 saved (Total: 102)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 118)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 135)
    ✓ Batch [NET]: 15 saved (Total: 150)
    ✓ Batch [ECAT]: 16 saved (Total: 166)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 180)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 193)
    ✓ Batch [NET]: 15 saved (Total: 208)
    ✓ Batch [ECAT]: 11 saved (Total: 219)
    ✓ Batch [GIKI_PIEAS]: 11 saved (Total: 230)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 245)
    ✓ Batch [NET]: 10 saved (Total: 255)
    ✓ Batch [ECAT]: 10 saved (Total: 265)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 274)
    ✓ Batch [LUMS_SAT]: 7 saved (Total: 281)
    ✓ Batch [NET]: 9 saved (Total: 290)
    ✓ Batch [ECAT]: 7 saved (Total: 297)
    ✓ Batch [GIKI_PIEAS]: 11 saved (Total: 308)

▶ STARTING: Physics -> Electrostatics (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 18 saved (Total: 38)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 77)
    ✓ Batch [NET]: 14 saved (Total: 91)
    ✓ Batch [ECAT]: 20 saved (Total: 111)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 129)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 145)
    ✓ Batch [NET]: 13 saved (Total: 158)
    ✓ Batch [ECAT]: 19 saved (Total: 177)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 193)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 213)
    ✓ Batch [NET]: 10 saved (Total: 223)
    ✓ Batch [ECAT]: 18 saved (Total: 241)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 259)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 270)
    ✓ Batch [NET]: 16 saved (Total: 286)
    ✓ Batch [ECAT]: 14 saved (Total: 300)

▶ STARTING: Physics -> Current Electricity (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 80)
    ✓ Batch [NET]: 18 saved (Total: 98)
    ✓ Batch [ECAT]: 16 saved (Total: 114)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 133)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 149)
    ✓ Batch [NET]: 19 saved (Total: 168)
    ✓ Batch [ECAT]: 16 saved (Total: 184)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 203)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 219)
    ✓ Batch [NET]: 16 saved (Total: 235)
    ✓ Batch [ECAT]: 16 saved (Total: 251)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 263)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 283)
    ✓ Batch [NET]: 18 saved (Total: 301)

▶ STARTING: Physics -> Electromagnetism (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 77)
    ✓ Batch [NET]: 20 saved (Total: 97)
    ✓ Batch [ECAT]: 18 saved (Total: 115)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 132)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 151)
    ✓ Batch [NET]: 12 saved (Total: 163)
    ✓ Batch [ECAT]: 19 saved (Total: 182)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 202)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 222)
    ✓ Batch [NET]: 15 saved (Total: 237)
    ✓ Batch [ECAT]: 18 saved (Total: 255)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 268)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 287)
    ✓ Batch [NET]: 15 saved (Total: 302)

▶ STARTING: Physics -> Electromagnetic Induction (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 78)
    ✓ Batch [NET]: 20 saved (Total: 98)
    ✓ Batch [ECAT]: 18 saved (Total: 116)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 136)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 155)
    ✓ Batch [NET]: 18 saved (Total: 173)
    ✓ Batch [ECAT]: 19 saved (Total: 192)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 212)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 229)
    ✓ Batch [NET]: 20 saved (Total: 249)
    ✓ Batch [ECAT]: 16 saved (Total: 265)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 277)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 294)
    ✓ Batch [NET]: 18 saved (Total: 312)

▶ STARTING: Physics -> Alternating Current (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 18 saved (Total: 38)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 55)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 71)
    ✓ Batch [NET]: 19 saved (Total: 90)
    ✓ Batch [ECAT]: 20 saved (Total: 110)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 128)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 147)
    ✓ Batch [NET]: 16 saved (Total: 163)
    ✓ Batch [ECAT]: 17 saved (Total: 180)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 199)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 213)
    ✓ Batch [NET]: 13 saved (Total: 226)
    ✓ Batch [ECAT]: 15 saved (Total: 241)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 257)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 274)
    ✓ Batch [NET]: 12 saved (Total: 286)
    ✓ Batch [ECAT]: 19 saved (Total: 305)

▶ STARTING: Physics -> Physics of Solids (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 73)
    ✓ Batch [NET]: 19 saved (Total: 92)
    ✓ Batch [ECAT]: 18 saved (Total: 110)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 127)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 140)
    ✓ Batch [NET]: 19 saved (Total: 159)
    ✓ Batch [ECAT]: 20 saved (Total: 179)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 195)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 213)
    ✓ Batch [NET]: 16 saved (Total: 229)
    ✓ Batch [ECAT]: 19 saved (Total: 248)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 263)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 279)
    ✓ Batch [NET]: 13 saved (Total: 292)
    ✓ Batch [ECAT]: 19 saved (Total: 311)

▶ STARTING: Physics -> Electronics (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 80)
    ✓ Batch [NET]: 17 saved (Total: 97)
    ✓ Batch [ECAT]: 20 saved (Total: 117)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 136)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 156)
    ✓ Batch [NET]: 17 saved (Total: 173)
    ✓ Batch [ECAT]: 18 saved (Total: 191)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 211)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 229)
    ✓ Batch [NET]: 20 saved (Total: 249)
    ✓ Batch [ECAT]: 19 saved (Total: 268)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 287)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 305)

▶ STARTING: Physics -> Modern Physics (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 18 saved (Total: 38)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 54)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 71)
    ✓ Batch [NET]: 16 saved (Total: 87)
    ✓ Batch [ECAT]: 17 saved (Total: 104)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 123)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 137)
    ✓ Batch [NET]: 16 saved (Total: 153)
    ✓ Batch [ECAT]: 17 saved (Total: 170)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 182)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 198)
    ✓ Batch [NET]: 11 saved (Total: 209)
    ✓ Batch [ECAT]: 11 saved (Total: 220)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 229)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 243)
    ✓ Batch [NET]: 17 saved (Total: 260)
    ✓ Batch [ECAT]: 18 saved (Total: 278)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 292)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 304)

▶ STARTING: Physics -> Atomic Spectra (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 53)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 69)
    ✓ Batch [NET]: 15 saved (Total: 84)
    ✓ Batch [ECAT]: 15 saved (Total: 99)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 115)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 126)
    ✓ Batch [NET]: 16 saved (Total: 142)
    ✓ Batch [ECAT]: 12 saved (Total: 154)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 164)
    ✓ Batch [LUMS_SAT]: 5 saved (Total: 169)
    ✓ Batch [NET]: 12 saved (Total: 181)
    ✓ Batch [ECAT]: 7 saved (Total: 188)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 200)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 216)
    ✓ Batch [NET]: 5 saved (Total: 221)
    ✓ Batch [ECAT]: 8 saved (Total: 229)
    ✓ Batch [GIKI_PIEAS]: 7 saved (Total: 236)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 247)
    ✓ Batch [NET]: 9 saved (Total: 256)
    ✓ Batch [ECAT]: 7 saved (Total: 263)
    ✓ Batch [GIKI_PIEAS]: 5 saved (Total: 268)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 276)
    ✓ Batch [NET]: 8 saved (Total: 284)
    ✓ Batch [ECAT]: 8 saved (Total: 292)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 300)

▶ STARTING: Physics -> Nuclear Physics (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 80)
    ✓ Batch [NET]: 18 saved (Total: 98)
    ✓ Batch [ECAT]: 19 saved (Total: 117)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 135)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 153)
    ✓ Batch [NET]: 18 saved (Total: 171)
    ✓ Batch [ECAT]: 16 saved (Total: 187)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 204)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 219)
    ✓ Batch [NET]: 11 saved (Total: 230)
    ✓ Batch [ECAT]: 15 saved (Total: 245)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 259)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 274)
    ✓ Batch [NET]: 11 saved (Total: 285)
    ✓ Batch [ECAT]: 18 saved (Total: 303)

▶ STARTING: Chemistry -> Basic Concepts (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 80)
    ✓ Batch [NET]: 18 saved (Total: 98)
    ✓ Batch [ECAT]: 20 saved (Total: 118)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 137)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 155)
    ✓ Batch [NET]: 19 saved (Total: 174)
    ✓ Batch [ECAT]: 16 saved (Total: 190)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 205)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 220)
    ✓ Batch [NET]: 16 saved (Total: 236)
