Profile,Name,URL,About,Find companies,Description,Primary Industry,Size,Type,Location,Country,Domain
Facial Surgery & Cosmetic Centre,Facial Surgery & Cosmetic Centre,https://www.linkedin.com/company/facial-surgery-cosmetic-centre,"Dr. Antoniak & his staff at The Facial Surgery & Cosmetic Centre strive to make everyone's experience enjoyable and memorable.

Gregory P. Antoniak, a specialist in the field of facial and cosmetic surgery since 1987, offers his patients a wide variety of surgical and non-surgical options to enhance the way they look and feel. “A natural result, that’s what I aim for,” adds Dr. Antoniak, “cosmetic surgery and laser resurfacing that doesn’t leave you looking “Plastic”. 

Dr. Antoniak’s procedures include nose refinement, eyelid surgery, face and eyebrow lift,   Botox®, Dysport®, STYLAGE®, BELOTERO®, IPL facial rejuvenation, Venus VIVA, Venus Legacy, laser surgery for snoring, and advanced skin care products for every skin type.

A private on-site surgical suite is available as well as confidential consultations assisted by Registered Nurses and the services of medical aestheticians.",,"Dr. Antoniak & his staff at The Facial Surgery & Cosmetic Centre strive to make everyone's experience enjoyable and memorable.

Gregory P. Antoniak, a specialist in the field of facial and cosmetic surgery since 1987, offers his patients a wide variety of surgical and non-surgical options to enhance the way they look and feel. “A natural result, that’s what I aim for,” adds Dr. Antoniak, “cosmetic surgery and laser resurfacing that doesn’t leave you looking “Plastic”. 

Dr. Antoniak’s procedures include nose refinement, eyelid surgery, face and eyebrow lift,   Botox, Dysport, STYLAGE, BELOTERO, IPL facial rejuvenation, Venus VIVA, Venus Legacy, laser surgery for snoring, and advanced skin care products for every skin type.

A private on-site surgical suite is available as well as confidential consultations assisted by Registered Nurses and the services of medical aestheticians.",Medical Practices,11-50 employees,Privately Held,"Ottawa, Ontario",Canada,ottawafacialsurgery.com
Afrina Canada,Afrina Canada,https://www.linkedin.com/company/afrina-canada,"With the vision of bringing the best body and hair services, Chairman of the Board Farah Angiz Moulana and Afrina brand has made a name for itself by offering a wide range of beauty, Medical Spa & Alternative Health services to a wide range of customers. It is a name that has been admired and followed by many people since its first salon opened in Sharjah 40 years ago. It has now nine branches in Dubai, UAE, & Canada",,"With the vision of bringing the best body and hair services, Chairman of the Board Farah Angiz Moulana and Afrina brand has made a name for itself by offering a wide range of beauty, Medical Spa & Alternative Health services to a wide range of customers. It is a name that has been admired and followed by many people since its first salon opened in Sharjah 40 years ago. It has now nine branches in Dubai, UAE, & Canada",Wellness and Fitness Services,51-200 employees,Privately Held,"North Vancouver, British Columbia",Canada,afrina.ca
Rejuva Medical Aesthetics,Rejuva Medical Aesthetics,https://www.linkedin.com/company/rejuvamedicalaesthetics,"Rejuva Medical Aesthetics offers the most advanced techniques in plastic surgery and non-invasive cosmetic treatments to the people living in Los Angeles, Beverly Hills, and Brentwood, along with the surrounding communities in California. Our objective is to meet and exceed all expectations so that when you walk through our doors, you know your experience will be second to none.

Dr. Kian Karimi is double-board certified by the American Board of Facial Plastic and Reconstructive Surgery and the American Board of Otolaryngology. Together with his  team of aesthetic experts they combine exceptional skills, extensive experience and the latest technology to deliver the most natural and beautiful results possible for their patients.",,"Rejuva Medical Aesthetics offers the most advanced techniques in plastic surgery and non-invasive cosmetic treatments to the people living in Los Angeles, Beverly Hills, and Brentwood, along with the surrounding communities in California. Our objective is to meet and exceed all expectations so that when you walk through our doors, you know your experience will be second to none.

Dr. Kian Karimi is double-board certified by the American Board of Facial Plastic and Reconstructive Surgery and the American Board of Otolaryngology. Together with his  team of aesthetic experts they combine exceptional skills, extensive experience and the latest technology to deliver the most natural and beautiful results possible for their patients.",Medical Practices,11-50 employees,Privately Held,"Los Angeles, California",United States,rejuvamedical.org
Velour Medical,Velour Medical,https://www.linkedin.com/company/velour-medical,"Velour Medical is not a med spa – Velour is a collective of the nation’s leading cosmetic injectors. Velour is a brand where clients go to find the right injector for their aesthetic journey, and where injectors go to run their business. 

At Velour, we encourage clients to explore our collective of injectors to discover the provider best suited for them. Our advanced clinical MDs, PAs, NPs, and RNs offer tailored, results-driven treatments including Botox, Hyaluronic Acid Dermal Fillers, PRP, PRF, and Medical Grade Chemical Peels.

Whether you’re seeking your ideal provider or are one, Velour is where artistry and medicine come together.",,"Velour Medical is not a med spa – Velour is a collective of the nation’s leading cosmetic injectors. Velour is a brand where clients go to find the right injector for their aesthetic journey, and where injectors go to run their business. 

At Velour, we encourage clients to explore our collective of injectors to discover the provider best suited for them. Our advanced clinical MDs, PAs, NPs, and RNs offer tailored, results-driven treatments including Botox, Hyaluronic Acid Dermal Fillers, PRP, PRF, and Medical Grade Chemical Peels.

Whether you’re seeking your ideal provider or are one, Velour is where artistry and medicine come together.",Medical Practices,11-50 employees,Privately Held,"New York, NY",United States,velourmd.com
The Spa Butler,The Spa Butler,https://www.linkedin.com/company/the-spa-butler,"The Spa Butler is a wellness and fitness services company headquartered in Plano, Texas, USA. It was founded in 2021, is privately held, and has 10 employees.",,"Get the Best esthetic equipment to bring your spa business to life! Specializing in aesthetic machine sales, state regulatory compliance, medical spa startups, and beauty business solutions, The Spa Butler has the know-how and resources spa owners need to succeed..",Wellness and Fitness Services,11-50 employees,Privately Held,"Plano, Texas",United States,thespabutler.com
RD Medical Spa,RD Medical Spa,https://www.linkedin.com/company/rd-medical-spa,"RD Medical Spa is a wellness and fitness services company, founded in 2022, headquartered in Hamilton, ON, Canada. It is privately held with 11-50 employees and lists 6 employees on record; website https://www.rdmedicalspa.com/.",,"Located in a quiet suburb of Hamilton, RD Medical Spa offers holistic, evidence-based care.

Our multidisciplinary medical and spa services include laser hair removal, chiropractic care, naturopathic medicine, skincare, and mental wellness.",Wellness and Fitness Services,11-50 employees,Privately Held,"Hamilton, Ontario",Canada,rdmedicalspa.com
Myers Dermatology,Myers Dermatology,https://www.linkedin.com/company/myers-dermatology-llc,"Founded in 2009, privately held medical practice headquartered in Lafayette, LA, USA, with 9 employees and company size listed as 11-50 employees.",,Myers Dermatology is a state-of-the-art skin wellness center and clinical spa that offers the latest innovations in both medical and aesthetic skincare,Medical Practices,11-50 employees,Privately Held,"LAFAYETTE, Louisiana",United States,myersdermatology.com
Family Medical Specialties,Family Medical Specialties,https://www.linkedin.com/company/family-medical-specialties,"Family Medical Specialties is a physician owned primary care clinic providing health care services for the entire family in southcentral Nebraska and north central Kansas. Family medicine, Internal medicine with full lab, x-ray, diagnostics, allergy and sports medicine. Specialty clinics on site including cardiology, oncology, podiatry, orthopedics, physical therapy, etc. Founded in 1980, headquartered in Holdrege, NE, USA. Website: http://www.fammedspec.com. Employees: 22. Revenue range $1M to $10M. Company type: Privately Held.",,"Physican owned primary care clinic providing health care services for the entire family in southcentral Nebraska and north central Kansas.  Family medicine, Internal medicine with full lab, x-ray, diognistics, allergy and sports medicine.  Specialty clinics on site including cardiology, oncology, podiatry, orthapedics, physical therapy, etc.",Medical Practices,51-200 employees,Privately Held,"Holdrege, Nebraska",United States,fammedspec.com
Styku,Styku,https://www.linkedin.com/company/styku,"Healthcare Tech for Preventative Care. Styku's patented 3D imaging technology and health coaching platform drives awareness of health risks with a 35-second non-invasive scan. We are a B2B enterprise solution, with over 1400 active businesses using our product servicing the fitness, physical therapy, primary care, med-spa, hospital, and weight-loss verticals. Over 1.2M users use our Styku to quickly assess their body shape, biometrics, and health risks and then work with professionals to improve their health outcomes.",,"Healthcare Tech for Preventative Care. Styku's patented 3D imaging technology and health coaching platform drives awareness of health risks with a 35-second non-invasive scan. We are a B2B enterprise solution, with over 1400 active businesses using our product servicing the fitness, physical therapy, primary care, med-spa, hospital, and weight-loss verticals. Over 1.2M users use our Styku to quickly assess their body shape, biometrics, and health risks and then work with professionals to improve their health outcomes.",Wellness and Fitness Services,11-50 employees,Privately Held,"Los Angeles, CA",United States,styku.com
DeSilva Dermatology,DeSilva Dermatology,https://www.linkedin.com/company/desilva-dermatology,"Welcome to DeSilva Dermatology, where experience and personal care are one.  Dr. DeSilva has been providing medical, surgical, and cosmetic dermatology services in San Antonio since 2000. Over the years, his dedication to excellence and innovation has enabled him to be a leader in the field of Dermatology by offering the latest available treatments for general, surgical, and cosmetic dermatology.",,"Welcome to DeSilva Dermatology, where experience and personal care are one.  Dr. DeSilva has been providing medical, surgical, and cosmetic dermatology services in San Antonio since 2000. Over the years, his dedication to excellence and innovation has enabled him to be a leader in the field of Dermatology by offering the latest available treatments for general, surgical, and cosmetic dermatology.",Medical Practices,11-50 employees,Privately Held,"Boerne, Texas",United States,desilvaderm.com
Billings Dermatology & Aesthetics,Billings Dermatology & Aesthetics,https://www.linkedin.com/company/billings-dermatology-and-aesthetics,"Whether you seek a day of escape or the latest in aesthetic enhancement, Billings Dermatology & Aesthetics offers the ultimate experience – a convergence of traditional dermatology and the rejuvenating and healing of a medical spa. Led by Board Certified Dermatologist, Tanya Riddle MD, the clinic treats psoriasis, eczema, rosacea, acne, allergic and contact dermatitis, and infections of the skin, as well as surgical treatments for benign and cancerous skin growths.

To help you look your best, we offer years of experience in Fraxel laser treatment, GentleLASE laser hair reduction, rosacea treatment, a wide range of other treatments and products including Botox® and dermal fillers, and laser tattoo removal. For those seeking a relaxing setting of natural beauty, the Aesthetics Clinic specializes in traditional treatments and medically proven cosmetic procedures in a private, professional setting.",,"Whether you seek a day of escape or the latest in aesthetic enhancement, Billings Dermatology & Aesthetics offers the ultimate experience – a convergence of traditional dermatology and the rejuvenating and healing of a medical spa. Led by Board Certified Dermatologist, Tanya Riddle MD, the clinic treats psoriasis, eczema, rosacea, acne, allergic and contact dermatitis, and infections of the skin, as well as surgical treatments for benign and cancerous skin growths.

To help you look your best, we offer years of experience in Fraxel laser treatment, GentleLASE laser hair reduction, rosacea treatment, a wide range of other treatments and products including Botox and dermal fillers, and laser tattoo removal. For those seeking a relaxing setting of natural beauty, the Aesthetics Clinic specializes in traditional treatments and medically proven cosmetic procedures in a private, professional setting.",Medical Practices,11-50 employees,Privately Held,"Billings, MT",United States,billingsdermatology.com
selfology®,selfology,https://www.linkedin.com/company/selfology,"selfology® Wellness Spa
selfology.co",,"selfology Wellness Spa
selfology.co","Health, Wellness and Fitness",2-10 employees,Privately Held,"Vancouver, British Columbia",Canada,selfology.co
Aesthetica Medical Spa,Aesthetica Medical Spa,https://www.linkedin.com/company/aesthetica-medical-spa-laser-center,"Our vision at Aesthetica Medical Spa is to offer a comprehensive approach to health, wellness and beauty. We utilize leading-edge technology, treatments, and medicine to ultimately enhance your well-being and positive self-image. Our goal is to create lifelong relationships with our patients by providing personalized care and results that will exceed your expectations.",,"Our vision at Aesthetica Medical Spa is to offer a comprehensive approach to health, wellness and beauty. We utilize leading-edge technology, treatments, and medicine to ultimately enhance your well-being and positive self-image. Our goal is to create lifelong relationships with our patients by providing personalized care and results that will exceed your expectations.",Wellness and Fitness Services,11-50 employees,Privately Held,"Pleasant Grove, Utah",United States,aesthetica.com
Designer Plastic Surgery,Designer Plastic Surgery,https://www.linkedin.com/company/designerplasticsurgery,"At Designer Plastic Surgery we offer a truly curated experience. Dr. Hua utilizes a breadth of experience and expertise to best address your concerns and goals. This, paired with cutting-edge technology, innovation, and a team well-grounded in excellent patient care, allows us to offer nothing but the best to patients in Houston, Richmond, Katy, Fulshear and Sugar Land.

Founded by Dr. Jack Hua, a skilled plastic and reconstructive surgeon specializing in complex face, breast, and body surgeries, Designer Plastic Surgery offers personalized treatments tailored to each patient's unique needs. Dr. Hua leads a dedicated team of highly trained professionals focused on delivering stunning, life changing results.",,"At Designer Plastic Surgery we offer a truly curated experience. Dr. Hua utilizes a breadth of experience and expertise to best address your concerns and goals. This, paired with cutting-edge technology, innovation, and a team well-grounded in excellent patient care, allows us to offer nothing but the best to patients in Houston, Richmond, Katy, Fulshear and Sugar Land.

Founded by Dr. Jack Hua, a skilled plastic and reconstructive surgeon specializing in complex face, breast, and body surgeries, Designer Plastic Surgery offers personalized treatments tailored to each patient's unique needs. Dr. Hua leads a dedicated team of highly trained professionals focused on delivering stunning, life changing results.",Medical Practices,11-50 employees,Privately Held,"Sugar Land, Texas",United States,designerplasticsurgery.com
Skin Solutions Collective - Previously Tribeca Skin Soluitions,Skin Solutions Collective - Previously Tribeca Skin Soluitions,https://www.linkedin.com/company/tribecaskinsolutions,"Skin Solutions Collective (previously Park Ave Skin and Tribeca Skin Solutions) is a renowned aesthetic medicine practice known for its bespoke cosmetic treatments, injectables, anti-aging skincare, and advanced laser therapies. Our flagship location is in TriBeCa with locations in Greenwich, CT and seasonal satellite offices in Southampton (Labor Day to Memorial Day) and Miami Beach (Winter Months: Dec-April) and accept appointments by online booking, phone, text or email.

Founded originally in 2009 on Manhattan's Upper East Side as Park Avenue Skin Solutions, our philosophy for skincare and anti-aging reflects Founder, Lauren Abramowitz's personal belief in balance, healing, and positive thinking.",,"Skin Solutions Collective (previously Park Ave Skin and Tribeca Skin Solutions) is a renowned aesthetic medicine practice known for its bespoke cosmetic treatments, injectables, anti-aging skincare, and advanced laser therapies. Our flagship location is in TriBeCa with locations in Greenwich, CT and seasonal satellite offices in Southampton (Labor Day to Memorial Day) and Miami Beach (Winter Months: Dec-April) and accept appointments by online booking, phone, text or email.

Founded originally in 2009 on Manhattan's Upper East Side as Park Avenue Skin Solutions, our philosophy for skincare and anti-aging reflects Founder, Lauren Abramowitz's personal belief in balance, healing, and positive thinking.",Wellness and Fitness Services,11-50 employees,Privately Held,"New York, New York",United States,skinsolutions.co
Bellaire Dermatology,Bellaire Dermatology,https://www.linkedin.com/company/bellaire-dermatology,"BECAUSE RESULTS MATTER

Bellaire Dermatology, your comprehensive center for dermatological expertise, practices cutting-edge dermatological care in a compassionate environment that has a lasting impact on our patients, employees, community, and beyond. At Bellaire Dermatology, we believe in providing straightforward, compassionate care you can rely on through personalized, individual attention and progressive treatment strategies. Because our staff takes the time to continually learn and grow as professionals and people, we offer the most current and effective medical and cosmetic therapies in both pediatric and adult dermatology.

In service, care, compassion and practice, Bellaire Dermatology leads the way, operating with integrity to offer you an experience beyond any other. Located in Bellaire, just minutes from the Galleria, we offer our patients the latest advancements in treatment regimens, surgical techniques, and laser procedures to improve the condition of the skin, hair, and nails.",,"BECAUSE RESULTS MATTER

Bellaire Dermatology, your comprehensive center for dermatological expertise, practices cutting-edge dermatological care in a compassionate environment that has a lasting impact on our patients, employees, community, and beyond. At Bellaire Dermatology, we believe in providing straightforward, compassionate care you can rely on through personalized, individual attention and progressive treatment strategies. Because our staff takes the time to continually learn and grow as professionals and people, we offer the most current and effective medical and cosmetic therapies in both pediatric and adult dermatology.

In service, care, compassion and practice, Bellaire Dermatology leads the way, operating with integrity to offer you an experience beyond any other. Located in Bellaire, just minutes from the Galleria, we offer our patients the latest advancements in treatment regimens, surgical techniques, and laser procedures to improve the condition of the skin, hair, and nails.",Medical Practices,51-200 employees,Privately Held,"Bellaire, Texas",United States,bellairedermatology.com
LANA Health and Wellness,LANA Health and Wellness,https://www.linkedin.com/company/lana-oncospa,"Welcome to LANA, a premium Health and Wellness spa that offers a wide range of health and wellness treatments to benefit both the body and mind. Our distinctive facilities are designed with high-end technologies for result-driven treatments and optimal comfort.

At LANA, we offer doctor consultations, skincare treatments, spa therapies, Ayurveda treatments, and a shopping facility for organic products, vitamin supplements, and Ayurvedic herbal supplements. To ensure the ultimate relaxation experience, we follow Ayurvedic philosophy, an ancient holistic practice from India that promotes harmony within the body.

We specialize in balanced rejuvenation through a range of customized cosmetic treatments, massages, facials, hair treatments, IV fluids and nutrition therapy, body treatments, and laser treatments. All of our cosmetic treatments are customizable to meet the individual concerns and health conditions of our clients.

At LANA, we are proud to offer a full range of permanent makeup procedures, including areola and scar camouflage. Our team of experts provides the ultimate relaxation experience while ensuring your health and wellness needs are met.

Visit LANA, your premier medical spa, for a transformative and rejuvenating experience.",,"Welcome to LANA, a premium Health and Wellness spa that offers a wide range of health and wellness treatments to benefit both the body and mind. Our distinctive facilities are designed with high-end technologies for result-driven treatments and optimal comfort.

At LANA, we offer doctor consultations, skincare treatments, spa therapies, Ayurveda treatments, and a shopping facility for organic products, vitamin supplements, and Ayurvedic herbal supplements. To ensure the ultimate relaxation experience, we follow Ayurvedic philosophy, an ancient holistic practice from India that promotes harmony within the body.

We specialize in balanced rejuvenation through a range of customized cosmetic treatments, massages, facials, hair treatments, IV fluids and nutrition therapy, body treatments, and laser treatments. All of our cosmetic treatments are customizable to meet the individual concerns and health conditions of our clients.

At LANA, we are proud to offer a full range of permanent makeup procedures, including areola and scar camouflage. Our team of experts provides the ultimate relaxation experience while ensuring your health and wellness needs are met.

Visit LANA, your premier medical spa, for a transformative and rejuvenating experience.",Wellness and Fitness Services,2-10 employees,Privately Held,"Princeton, New Jersey",United States,lanaoncospa.com
Rē Medspa Wellness & Hydration / Salon and Spa,Rē Medspa Wellness & Hydration / Salon and Spa,https://www.linkedin.com/company/re-salon-and-med-spa,"Rē Salon and Med Spa is located in Historic South End, near Uptown Charlotte. Our services include a full service salon, massages, facials, chemical peels, jet peel facials, waxing, laser hair removal, Botox, injectables, teeth whitening, and more. We invite you to come refresh, rejuvenate, and recreate in our luxury environment!",,"Rē Salon and Med Spa is located in Historic South End, near Uptown Charlotte.  Our services include a full service salon, massages, facials, chemical peels, jet peel facials, waxing, laser hair removal, Botox, injectables, teeth whitening, and more. We invite you to come refresh, rejuvenate, and recreate in our luxury environment!",Wellness and Fitness Services,11-50 employees,Privately Held,"Charlotte, NC",United States,resalonandmedspa.com
Impressions Face and Body,Impressions Face and Body,https://www.linkedin.com/company/impressionschicago,"Impressions Face and Body is a medical practice founded in 2000, headquartered in Chicago, IL, USA. The practice is led by Steven Dayan, M.D., Benjamin P. Caughlin, M.D., FACS, and Eric Anderson, M.D., and offers surgical and non-surgical aesthetic services from a clinic in Chicago's Old Town; website: https://www.impressionschicago.com/; company type: privately held; employees: 19; revenue range: $1M to $10M.",,"The Practice of Steven Dayan, M.D, Benjamin P. Caughlin, M.D, FACS, Eric Anderson, M.D & Their Team.

Located in Chicago's Old Town neighborhood, our state-of-the-art clinic stands not just as a beacon of transformative aesthetics but as your lifelong beauty partner. Our reputation is global, with clients from all corners seeking our expertise. Led by renowned surgeons, our diverse team is unwavering in its commitment to journey with you through every stage of life. By harmonizing surgical precision with non-surgical solutions, we ensure our services resonate with the uniqueness of each individual. It’s more than just creating an impression; it’s about crafting beauty that evolves with you.

224 W Hill St Ste. 500 Floor #5, Chicago, IL 60610, United States

https://www.impressionschicago.com/",Medical Practices,11-50 employees,Privately Held,"Chicago, Illinois",United States,impressionschicago.com
SCSP,SCSP,https://www.linkedin.com/company/scsp,SCSP is a dermatology office headquartered in the United States. It is a privately held medical practices company with an estimated 11-50 employees and reported revenue range of $10M to $50M.,,Dermatology Office,Medical Practices,11-50 employees,Privately Held,lutherville timonium,United States,scsphysicians.com
TruDerm,TruDerm,https://www.linkedin.com/company/truderm,"At TruDerm, we’re passionate about transforming the way that dermatology services are provided.  Our facilities cater to our patients by locating them in facilities that allow the greatest amount of accessibility.  Many of our locations are open 7 days per week and extended hours so that patients can see us at their convenience.  TruDerm is staffed by Board-Certified dermatologists, physician assistants, an experienced nursing team, and other skin care professionals.  Our strategic partnerships with Allergan and Syneron-Candela allow our guests accessibility to the latest in technology and products.  We offer medical dermatology, cosmetic dermatology, and other laser related services.   Our facilities are located in premium developments and offer a relaxing, spa-like atmosphere.",,"At TruDerm, we’re passionate about transforming the way that dermatology services are provided.  Our facilities cater to our patients by locating them in facilities that allow the greatest amount of accessibility.  Many of our locations are open 7 days per week and extended hours so that patients can see us at their convenience.  TruDerm is staffed by Board-Certified dermatologists, physician assistants, an experienced nursing team, and other skin care professionals.  Our strategic partnerships with Allergan and Syneron-Candela allow our guests accessibility to the latest in technology and products.  We offer medical dermatology, cosmetic dermatology, and other laser related services.   Our facilities are located in premium developments and offer a relaxing, spa-like atmosphere.",Medical Practices,11-50 employees,Privately Held,"Plano, Texas",United States,truderm.com
Foundation MedAesthetics,Foundation MedAesthetics,https://www.linkedin.com/company/foundationmedaesthetics,"Foundation MedAesthetics (FMA) is a holistic medical aesthetics wellness network of world-renowned clinicians and is strategically positioned to capitalize on the rapidly expanding medical aesthetics market.  

By acquiring, building, and integrating high-performing medical spas and cosmetic surgery clinics in attractive markets through a hub and spoke model, FMA is poised to drive long-term predictable growth as a leading player.",,"Foundation MedAesthetics (FMA) is a holistic medical aesthetics wellness network of world-renowned clinicians and is strategically positioned to capitalize on the rapidly expanding medical aesthetics market.  

By acquiring, building, and integrating high-performing medical spas and cosmetic surgery clinics in attractive markets through a hub and spoke model, FMA is poised to drive long-term predictable growth as a leading player.",Medical Practices,51-200 employees,Privately Held,"Chattanooga, Tennessee",United States,foundationmedaesthetics.com
Central Outreach Wellness Center,Central Outreach Wellness Center,https://www.linkedin.com/company/central-outreach-wellness-center,"Central Outreach Wellness Center is the largest LGBTQ+ medical clinic in Pennsylvania, with four offices and two offices in Ohio. 🩺

Specializing in infectious diseases, the clinic has seen almost 90,000 patients since opening in 2015, leads the nation for curing the most Hep C patients, writes the most PrEP prescriptions in the country, and was voted as the Best Health Advocacy Group in Pittsburgh twice by the Pittsburgh City Paper. 

📍Aliquippa | Cleveland | Columbus | Erie | Pittsburgh | Washington",,"Central Outreach Wellness Center is the largest LGBTQ+ medical clinic in Pennsylvania, with four offices and two offices in Ohio. 

Specializing in infectious diseases, the clinic has seen almost 90,000 patients since opening in 2015, leads the nation for curing the most Hep C patients, writes the most PrEP prescriptions in the country, and was voted as the Best Health Advocacy Group in Pittsburgh twice by the Pittsburgh City Paper. 

Aliquippa | Cleveland | Columbus | Erie | Pittsburgh | Washington",Medical Practices,51-200 employees,Privately Held,"Pittsburgh, PA",United States,centraloutreach.com
Biopharma International,Biopharma International,https://www.linkedin.com/company/biopharma-international,"Biopharma International represents and distributes pharmaceutical and biological products for conventional and alternative medical treatments. With operation centers throughout the world we distribute and provide customer support regarding the latest developments in anti-aging and aesthetic medicine as well as specialized treatments to energize the body, stave off degenerative diseases and to improve the efficiency of the immune system. 

Our commitment to inform

In addition to our distribution functions, we are committed to inform the medical society, medical laboratories and related institutions, about our products and treatments. This we do besides personal contacts, trough the Therapy Magazine, an important publication that informs the medical society about new developments in traditional medicine, alternative medicine and aesthetic medicine. The magazine is distributed worldwide by Biopharma International™.",,"Biopharma International represents and distributes pharmaceutical and biological products for conventional and alternative medical treatments. With operation centers throughout the world we distribute and provide customer support regarding the latest developments in anti-aging and aesthetic medicine as well as specialized treatments to energize the body, stave off degenerative diseases and to improve the efficiency of the immune system. 

Our commitment to inform

In addition to our distribution functions, we are committed to inform the medical society, medical laboratories and related institutions, about our products and treatments. This we do besides personal contacts, trough the Therapy Magazine, an important publication that informs the medical society about new developments in traditional medicine, alternative medicine and aesthetic medicine. The magazine is distributed worldwide by Biopharma International.",Wellness and Fitness Services,51-200 employees,Privately Held,"Coral Gables, FL",United States,biopharmainternational.com
"DERMIO DERMATOLOGY, LLC","DERMIO DERMATOLOGY, LLC",https://www.linkedin.com/company/dermiodermatology-llc,"DERMIO DERMATOLOGY, LLC is a medical practice based out of Munster, Dyer, Valparaiso and Demotte, Indiana.",,"DERMIO DERMATOLOGY, LLC is a medical practice based out of Munster, Dyer, Valparaiso and Crown Point, Indiana.",Medical Practices,51-200 employees,Privately Held,"Munster, Indiana",United States,dermiodermatology.com
Plastic Surgery California,Plastic Surgery California,https://www.linkedin.com/company/plastic-surgery-california,"Ready For Your First-Class Cosmetic Experience in Orange County (OC) California (CA)?

Are you located in one of these Orange County (OC) / Southern California cities?

Aliso Viejo, Anaheim, Brea, Buena Park, Costa Mesa, Coto de Caza, Cypress, Dana Point, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Laguna Beach, Laguna Hills, Laguna Niguel, Laguna Woods, Ladera Ranch, Lake Forest, Los Alamitos, Mission Viejo, Newport Beach, Orange, Placentia, Rancho Santa Margarita, San Clemente, San Juan Capistrano, Santa Ana, Seal Beach, Stanton, Tustin, Villa Park, Westminster, or Yorba Linda?

Plastic Surgeon Dr. Brandon Richland, MD and our Cosmetic Aesthetics Team are ready to help you look and feel your absolute best.

Elevate your confidence and self esteem levels to unfathomable new heights!

Schedule your in-person consultation in our modern and luxurious offices in either Fountain Valley, CA (Main HQ) or our Newport Beach, CA office. 

Do you live outside of Southern California or short on time? For your convenience, Virtual Consultations are also available.

Our warm and engaging Team of carefully selected Aesthetics Professionals will make you feel calm, cool, collected, and right at home throughout your entire consultation and surgery process.

Schedule Your Aesthetics Consultation here:
https://www.richlandmd.com/contact-us/

Or call us directly at 714-844-0398 or 949-997-2952 today.

Brandon Richland MD, Inc.",,"Ready For Your First-Class Cosmetic Experience in Orange County (OC) California (CA)?

Are you located in one of these Orange County (OC) / Southern California cities?

Aliso Viejo, Anaheim, Brea, Buena Park, Costa Mesa, Coto de Caza, Cypress, Dana Point, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Laguna Beach, Laguna Hills, Laguna Niguel, Laguna Woods, Ladera Ranch, Lake Forest, Los Alamitos, Mission Viejo, Newport Beach, Orange, Placentia, Rancho Santa Margarita, San Clemente, San Juan Capistrano, Santa Ana, Seal Beach, Stanton, Tustin, Villa Park, Westminster, or Yorba Linda?

Plastic Surgeon Dr. Brandon Richland, MD and our Cosmetic Aesthetics Team are ready to help you look and feel your absolute best.

Elevate your confidence and self esteem levels to unfathomable new heights!

Schedule your in-person consultation in our modern and luxurious offices in either Fountain Valley, CA (Main HQ) or our Newport Beach, CA office. 

Do you live outside of Southern California or short on time? For your convenience, Virtual Consultations are also available.

Our warm and engaging Team of carefully selected Aesthetics Professionals will make you feel calm, cool, collected, and right at home throughout your entire consultation and surgery process.

Schedule Your Aesthetics Consultation here:
https://www.richlandmd.com/contact-us/

Or call us directly at 714-844-0398 or 949-997-2952 today.

Brandon Richland MD, Inc.",Medical Practices,11-50 employees,Privately Held,"Fountain Valley, California",United States,richlandmd.com
Lakes Dermatology,Lakes Dermatology,https://www.linkedin.com/company/lakes-dermatology,"Within the last decade, cosmetic dermatology has made tremendous advances. There are new and better wrinkle and skin treatments, BOTOX® and Dysport®, dermal fillers (Restylane, Juvederm, Perlane, Radiesse, and Expression), intense pulsed lights and facial treatments, laser hair removal, and cellulite, body, and fat treatments in the news on a daily basis. It's often difficult for people to navigate the vast amount of treatments available and find those that are right for them.

With nearly 30 years of experience, Dr. F. Victor Rueckl, M.D. has carefully evaluated the cosmetic dermatology products and treatments available on the market and has brought the very best of them to his practice. Dr Rueckl has two offices in Las Vegas—his main office, Lakes Dermatology, and his medical spa, The Spa at Lakes Dermatology.",,"Within the last decade, cosmetic dermatology has made tremendous advances. There are new and better wrinkle and skin treatments, BOTOX and Dysport, dermal fillers (Restylane, Juvederm, Perlane, Radiesse, and Expression), intense pulsed lights and facial treatments, laser hair removal, and cellulite, body, and fat treatments in the news on a daily basis. It's often difficult for people to navigate the vast amount of treatments available and find those that are right for them.

With nearly 30 years of experience, Dr. F. Victor Rueckl, M.D. has carefully evaluated the cosmetic dermatology products and treatments available on the market and has brought the very best of them to his practice. Dr Rueckl has two offices in Las Vegas—his main office, Lakes Dermatology, and his medical spa, The Spa at Lakes Dermatology.",Medical Practices,11-50 employees,Privately Held,"Las Vegas, NV",United States,lakesdermatology.com
Mystique Medical Spa,Mystique Medical Spa,https://www.linkedin.com/company/mystique-medical-spa,Mystique Medical Spa Fresno is Fresno's People's Choice Award Winner and a Allergan Diamond Account Winner. Check our website for monthly Spa Specials.,,Mystique Medical Spa Fresno is Fresno's People's Choice Award Winner and a Allergan Diamond Account Winner. Check our website for monthly Spa Specials.,Medical Practices,11-50 employees,Privately Held,"Fresno, California",United States,mystiquemedicalspa.com
