Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
264,The laws which are means to other ends are of the nature of ____________ imperative.,Moral,Categorical,Hypothetical,Good,C
265,Promotion is an example of an internal source of recruitment.,advertisement,trade unions,employment exchange,promotion,A
266,The word MBO stands for:,management by organisation,management by operation,management by objectives,none of these,B
267,Conservatives argued that abortion is the same as:,suicide machine,life support machine,pain relief machine,none of these.,D
268,Unity of command principle states that an employee should receive orders from one superior only.,unity of direction,unity of command,esprit de corps,none of these,C
269,A high-commitment approach to environmental issues may include all of the following except:,risk analysis,stakeholder analysis,green-washing,strategic sustainability auditing,C
270,Research participants must give what before they can participate in a study?,Informed consent from the parent or guardian,Assent from the child if he or she is capable,Informed consent from the child,Both a and b,D
271,____________ comprehends all cardinal virtues.,Rational,Emotional,Obedience,Hereditary,A
272,Motivation means a process of stimulating people to action to accomplish desired goals.,motivation,leadership,communication,none of these,A
273,The generally accepted definition of a small business is one with 10 or fewer employees.,10,20,25,50,C
274,Which ethical theory emphasizes the importance of following universal moral rules?,Deontological,Utilitarian,Virtue ethics,Egalitarian,A
275,What is the name of the principle that states that one should always act in a way that maximizes the overall amount of happiness in the world?,Maximizing happiness,Following established rules,Virtue and character,Acting out of duty,A
276,Which ethical principle requires that healthcare providers do no harm to their patients?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of justice,B
277,The capacity to understand and act on moral reasons is:,accountability,accountability,obligation,conscientiousness,A
278,"____________ deals with logical and semantic questions like 'What do we mean by ""freedom"" and ""determinism""?'",applied ethics,normative ethics,practical ethics,meta ethics,D
279,Ethics deals with:,Voluntary Actions,Involuntary Actions,Non-Habitual Actions,Instinct Actions,A
280,'Ethics is neither a practical science nor an art.' This assertion is:,wrong,correct,neither right nor wrong,none of these,B
281,"According to psychological hedonism, ____________ is the only object at which we aim.",pleasure,good,utility,perfection,D
282,Event tree analysis method illustrates the sequence of outcomes which may occur after the occurrence of a selected initial event.,fmea,fault tree analysis,event tree analysis,none of the these,A
283,"The word ""ethics"" is derived from the Greek word:",ethos,ethies,ethees,ethise,A
284,Who among the following is an advocate of Utilitarianism?,hegel,kant,spinoza,bentham,A
285,Deterrence is discouraged to act immorally.,honesty,deterrence,discipline,human values,C
286,The cardinal virtue of Plato is:,Justice,Wisdom,Courage,Temperance,A
287,Stakeholders are considered more important to an organization when:,they can make use of their power on the organization,they do not emphasize the urgency of their issues,their issues are not legitimate,none of these,A
288,"According to clause 49 on independent directors, what can be the maximum tenure of an independent director?",2 terms of 5 years each,3 terms of 5 years each,2 terms of 10 years each,3 terms of 4 years each,A
289,Which ethical principle requires individuals to keep their promises and commitments?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of veracity,D
290,A company cannot issue redeemable preference shares for a period exceeding:,5 years,10 years,15 years,20 years,D
291,Functional foremanship is introduced to secure the benefits of division of labour or specialization at the supervising level under scientific management.,operating management,functional foremanship,either a or b,none of these,A
292,The feature that is NOT present in business ethics is:,It has universal application.,It is absolute in nature.,It depends from business to business.,It cannot be enforced by law.,B
293,"Integrity is defined as the unity of thought, word and deed (honesty) and open- mindedness.",morals,ethics,values,integrity,C
294,Expert authority is necessary to ensure progress in action.,agency authority,institutional authority,expert authority,none of the these,C
295,Discernment means the power to see what is not obvious to the average mind.,perseverance,accuracy,discernment,none of these,D
296,"""All conduct either promotes or hinders the organism's adaptation to the environment."" This implies the ____________ theory of morality.",ethical,psychological,utilitarianism,altruism,C
297,It is one who exhibits social responsibility:,social servant,bureaucratic servant,savior,none of these,C
298,The major types of ethical issues include all except:,Communication issues,Systematic issues,Corporate issues,Individual issues,A
299,A code of ethics is a buzzword to employees to observe ethical norms and forms the basis for rules of conduct.,code of ethics,business ethics,all of these,none,C
300,The rules approach to formal corporate ethics initiatives focuses on meeting required behaviour norms or obeying the letter of the law.,Rules,Compliance,Principles,none of these,A
301,Good laws when enforced effectively produce benefits.,globalization,standardization,both a & b,good laws,A
302,The desire to reach the peak of one's potential is called as:,self-actualization need,safety need,esteem need,none of these,A
303,"Moral responsibility of engineers is not merely following the rules and their emphasis should go beyond that, especially during the technological development activities.",measure of quality,reduce variety,balance competition,none of these,A
304,Top managers demonstrate commitment to ethical business practices with:,the adoption of written codes of ethics,employee empowerment,decentralized decision-making practices,collusion with other companies,B
305,Euthanasia is sometimes called:,accidental,immediate process,divine process,mercy killing,D
306,Which among the following is NOT a Hypothetical Imperative?,Laws of Hygiene,Economic Laws,Moral Laws,Legal Laws,C
307,Utilitarianism is also called ____________ hedonism.,egoistic,universalistic,analytic,none of these,A
308,One who believes in making decisions for the good of many people is known as:,utilitarianism,teleology,deontology,None of these,A
309,Collegiality is the tendency to support and cooperate with colleagues.,collegiality,agency loyalty,attitude loyalty,none of the these,A
310,Fundamental theories of the Indian Model include:,purushartha theory,panchakosas theory,theory of gunas,all of these,C
311,"According to the principle of autonomy, individuals have the right to:",The principle of beneficence,The principle of non-maleficence,Make own decisions,The principle of justice,C
312,Which of the following is NOT a principle of medical ethics?,Beneficence,Non-maleficence,Autonomy,Deception,A
313,"According to Mill, pleasures differ from one another in:",Quantity,Quality,Utility,time,B
314,"According to Kant, the will is ____________ when it acts solely from a sense of duty.",Autonomous,Heteronomous,Actuated by inclination,Teleological,A
315,Concentration of authority of decision-making at top levels of management is known as:,concentration,decentralization,centralization,none of these,C
316,Directors' responsibilities are unlikely to include:,a fiduciary duty,a duty to keep proper accounting records,a duty to propose high dividends for shareholders,a duty of care,C
317,Which ethical principle requires respecting the rights and dignity of others to make their own decisions?,Autonomy,Non-maleficence,Justice,Capitalism,A
318,The generally accepted definition of a medium business is one with 50 or fewer employees.,50,100,200,500,D
319,"Virtues are the welfare principles enunciated by the wise people, based on their experience and wisdom.",morals,principles,virtues,none of these,C
320,"Which act provides sweeping new legal protection for employees who report possible securities fraud, making it unlawful for companies to ""discharge, demote, suspend, threaten, harass, or in any other manner discriminate against"" them?",Sarbanes-Oxley Act of 2002,Foreign Corruption Act,Economic Espionage Act,none of these,A
321,A scenario is a synopsis of events or conditions leading to an accident and subsequent loss.,fault tree analysis,event tree analysis,fmea,none of the these,A
322,The Preamble to the Constitution of India is a brief introductory statement that sets out the guiding purpose and principles of the document.,Preamble,Article,Law,none of these,A
323,____________ is the acquired habit of controlling the natural instincts and impulses in order to realize definitely conceived ends.,Character,Conduct,Wish,Desire,A
324,Primarily responsibility implies duty with care and efforts.,general moral capacity,obligations,accountability,characteristic quality,D
325,"Trademark is a wide identity of specific good and services, permitting differences to be made among different trades.",globalization,standardization,technology transfer,none of the these,A
326,"Expert authority is the possession of special knowledge, skills and competence to perform a job thoroughly.",authority,loyalty,collective bargaining,none of the these,C
327,"Work ethics is defined as a set of attitudes concerned with the value of work, which forms the motivational orientation.",ethics,integrity,work ethics,none of these,A
328,The moral law is a:,Categorical Imperative,Hypothetical Imperative,Disjunctive,All of these,A
329,Human nature is:,learned,programmed,inherited,none of these,D
330,The Supreme Court of India came into being in 1950.,1947,1950,1952,none of these,A
331,Rights and Duties define the ethical duties of the:,individual,citizen,ministers,president,D
332,Computer ethics is defined as the study and analysis of the nature and social impact of computer technology.,1850,1857,1860,none of the these,A
333,"The theory that what we ought to aim at is the greatest possible amount of pleasure of all human beings, or of all sentient creatures, is:",Utilitarianism,Perfectionism,Egoistic Hedonism,Humanitarianism,A
334,Ethics determines the rightness or wrongness of:,human actions,human thought,human judgements,none of these,A
335,The system that is used by firms to control and direct their operations and the operations of their employees is called:,Corporate Compliance,Corporate Governance,Corporate Control,none of these,C
336,The word 'Ethics' is derived from the Greek word ethikos.,ethios,ethikos,ethoes,none of these,C
337,What is the name of the ethical theory that emphasizes the importance of developing virtuous character traits in oneself and others?,The principle of beneficence,The principle of non-maleficence,Virtue ethics,The principle of justice,C
338,The ethical theory of ____________ shows a close affinity with Darwin's theory of evolution.,J. S. Mill,Herbert Spencer,Immanuel Kant,None of these,A
339,It seeks to identify and justify the morally-desirable norms or standards that should guide individuals and groups:,normative inquiry,conceptual inquiry,descriptive inquiry,none of these,A
340,Which ethical principle emphasizes the importance of not causing harm to others?,Autonomy,Beneficence,Justice,Non-maleficence,C
341,Motives are the true reasons for our actions when we have something to lose or gain as,result. motives,schemes,plans,none of these,B
342,It consists of assigned tasks at the place of employment and achieving the objectives.,moral responsibility,causal responsibility,legal responsibility,none of these,C
343,Which among the following is the wrong statement?,Ethics is not Positive Science,Ethics is not Normative Science,Ethics is not a Practical Science,Ethics is not an Art,B
344,A superior cannot delegate:,authority,responsibility,duty,none of these,B
345,Proprietary information is available and accessed by virtue of privilege.,conflict of interest,excitement,confusion,dilemma,B
346,The appraisal of an employee is done for his/her:,performance,Successful completion of projects and Initiatives,Maintenance of good customer relation,All of the above,D
347,"The moral minimum that corporations must meet is ""do no harm"".",moral obligation,moral minimum,moral requirement,none of these,C
348,____________ is the criterion of good according to pragmatists.,intuition,desire,workability,duty,C
349,Authority flows from:,top to bottom,bottom to top,horizontally,none of these,D
350,"According to Hindu ethics, wealth satisfies our:",material needs,economical needs,biological needs,none of these,B
351,The profession also gains control over professional schools by establishing accreditation standards:,monopoly,knowledge and skills,extensive training,autonomy in workplace,C
352,Which legislation relates to the concept of business ethics?,Freedom of Information Act,Food Act,Building regulations,Building regulations,A
353,What is the primary approach that is used by the IRB to assess the ethical acceptability of a research study?,Normative justice,Risk-benefit analysis,Interpersonal justice,Metaethics,B
354,The project is usually executed in standard experiment method.,partial ignorance,standard experiment,engineering experiment,none of these,B
355,"In physical courage, the thrust is on the adequacy of the physical strength.",social,physical,intellectual,none of these,D
356,The term Right is derived from the Latin:,ritus,ritchus,rectus,rightss,C
357,An empirical inquiry into the actual rules or standards of a particular group is:,Code of ethics,Word of ethics,Ethical dilemma,Descriptive ethics,D
358,The system school of Management recognizes the existence of a centralized body of knowledge for the Management.,system approach,empirical,contingency,operational,C
359,Character is built up by a person out of his natural tendencies and dispositions by controlling and regulating them by:,Passion,emotions,reason,Desire,C
360,Which ethical principle requires acting to promote the well-being of others?,Deontological,Utilitarian,Virtue ethics,Beneficence,D
361,____________ is not a positive science.,personal,social,supreme,lower,C
362,Unity of command means an individual should receive orders and instructions from only one superior.,unity of command,span of control,scalar chain,none of these,B
363,A stakeholder analysis of an issue consists of weighing and balancing all of the competing demands on a firm by each of those who have a claim on it.,stakeholder analysis,board of directors analysis,corporation analysis,none of these,A
364,Which country legalized voluntary euthanasia?,Practical euthanasia,Voluntary euthanasia,Passive euthanasia,Active euthanasia,D
365,Standards ensure a measure of quality and hence facilitate more realistic trade-off decisions.,internal use,external use,interchangeability,none of these,A
366,____________ is a postulate of morality.,law of excluded middle,immortality of the soul,law of identity,none of these,A
367,The relevance of ethics is in its:,Context,Principles,Application,Understanding,C
368,Theory x is vested with negative motivation.,achievement theory,theory x,theory y,none of these,A
369,"When new employees are to be recruited, induction training should be arranged for them.",apprenticeship,induction,vestibule,none of these,C
370,Ethics helps the individuals to interact ethically with colleagues and to effectively coordinate with other departments.,work ethics,service learning,integrity,none of these,A
371,"""Virtue is the habit of choosing the relative mean."" Who holds this view?",Happiness,Virtue,Good will,All of these,C
372,Which of the following is NOT one of the primary elements of a strong organizational compliance program?,They may be used to reallocate resources,They identify practices that need improvement,Selecting auditors may be difficult,none of these,C
373,"The organizations may practice laws of the home country, without adjustments to the host culture is called ethical relativism.",environmental ethics,omputer ethics,business ethics,none of the these,A
374,Which ethical theory argues that all living beings have inherent value and should be treated with respect and consideration?,Biocentrism,Following established rules,Virtue ethics,Acting out of duty,A
375,Proprietary information is owned by the organization.,moonlighting,actual conflict of interest,potential conflict of interest,none of the these,D
376,External audit of the accounts of a limited company is required:,because it is demanded by the company's bankers,by the Companies Act 2013,at the discretion of the shareholders,to detect fraud,B
377,Which ethical principle focuses on the idea that people should be treated equally and fairly?,Autonomy,Non-maleficence,Justice,Capitalism,C
378,Patents permits people to have fully independent ownership for their innovation.,mnc,globalization,standardization,none of the these,B
379,The principles approach to formal corporate ethics initiatives is proactive and inspirational.,Rules,Compliance,Principles,Values,D
380,The Sarbanes-Oxley Act:,makes it easier to fire whistle-blowers,reduces the law's protection of employees who disclose securities fraud,makes it illegal for executives to retaliate against employees who report possible violations of federal law,provides penalties for blowing the whistle illegitimately or maliciously,D
381,The force of will leads to:,Action,inaction,result,wish,A
382,"The permanent bent of the mind, constituted by the 'settled habits of will' is:",Conduct,Desire,Character,Wish,C
383,Atmospheric issues include all of the following except:,Acid Rain,Global Warming,Air Pollution,Water Quantity,D
384,Public interest is safeguarded by Article 19(2) which lays down reasonable limitations to the freedom of expression.,article 21,article 19(2),article 25,article 19 (1)(a),A
385,"The Triple Bottom Line position is that a corporation can and should be evaluated not only in terms of its financial bottom line, but also in terms of its environmental bottom line and its social/ethical bottom line.",Bottom line,Double Bottom line,Triple Bottom line,none of these,C
386,Which of the following is the best way to sum up the focus of Rawls' principles of justice?,Equal basic rights and fair opportunities,Shareholders,Members,None of these,A
387,Which ethical theory argues that actions are moral if they follow universal ethical principles?,Utilitarianism,Deontological ethics,Virtue ethics,Care ethics,B
388,____________ tells us how we actually will.,Philosophy,Ethics,Psychology,Logic,C
389,Some jobs cannot be done alone and some can be done much better and faster if you possess the quality of teamwork.,responsibility,respect,teamwork,none of these,A
390,Which ethical theory emphasizes the importance of the individual's character?,Virtue ethics,Deontology,Utilitarianism,Care Ethics,A
391,"According to section 179, which one of the following is a power of the director?",To buy back its shares,"Sell, lease, or otherwise dispose of the undertakings of the company",Remit or give time for the repayment of any debt due by a director,none of these,A
392,Which intervention resulted from the Enron scandal?,The Hampel Committee,The Sarbannes-Oxley Act,The Greenbury Committee,The Cadbury Committee,D
393,"According to ethical egoism, what should be the primary concern of an individual?",The principle of beneficence,The principle of non-maleficence,Self-interest,The principle of justice,C
394,"According to clause 49 on independent directors, what should be the minimum age of an independent director?",21,22,23,24,A
395,Stare decisis means that a question that was dealt with in a certain way continues to be dealt with in that way in similar later situations.,Stare decisis,Obiter dicta,Ratio decidendi,none of these,C
396,Planning premises are certain assumptions about the future on the basis of which the plan will be formulated.,programmes,planning premises,planning issues,none of these,D
397,"When the wish is actually carried out, it becomes:",will,desire,choice,deliberation,C
398,"Computer ethics is defined as the formulation and justification of policies, for the ethical use of computers.",tv,press,radio,none of the these,A
399,The concept of Corporate Social Responsibility originated in which time period?,1920's and 1930's,19th Century,1980's and 1990's,1960's and 1970's,D
400,Which ethical theory is concerned with the inherent value and dignity of every human being?,Beneficence,Non-maleficence,Autonomy,Justice,C
401,"If a human being is not capable of understanding the choice between life and death, euthanasia would be:",Suicide,Killing,Non-voluntary euthanasia,Assisting suicide,C
402,____________ driven companies are always successful in the long run.,Functional area ethic,Corporate policy ethics,Value ethics,all of these,C
403,What is the branch of ethics concerned with the study of moral principles that guide human behavior?,Deontological,Utilitarian,Virtue ethics,Normative ethics,D
404,Who owns the property of the company?,Shareholders,Make profits,Encourage business,None of these,A
405,____________ was the greatest Christian theologian and philosopher of the Middle Ages?,Value,Personality,Education,Knowledge,A
406,"According to ____________ hedonism, the greatest happiness of the greatest number or general happiness is the moral standard.",Ethical,Psychological,Egoistic,Altruistic,D
407,The duty to the self includes:,Realization of the relational self,Realization of the sentient self,Realization of good self as well as realization of bad self,Realization of good self as well as realization of bad self,A
408,Courage is the virtue of the ____________ part of the soul.,Wisdom,Justice,Courage,Temperance,C
409,Ethics deals with the standards to describe:,good and evil,true and false,right and good,all of these,D
410,Which of the following is associated with the classical view of social responsibility?,economist Robert Reich,concern for social welfare,stockholder financial return,none of these,B
411,Which of the following is not true?,It makes morality depend on a person's desires.,It fails to give us any guidance whatsoever.,It makes morality depend solely on the consequences of one's acions.,"It allows lying, which is never permissible.",D
412,Corporate governance can be defined as:,the system used by firms to control the actions of their employees,the election process used to vote in a new Board of Directors,the corporate compliance system used by the firm,none of these,A
413,Which of the following statements about business ethics is true?,It concerns the impact of a business's activities on society,It refers to principles and standards that determine acceptable behavior in the world of business,It relates to an individual's values and moral standards and the resulting business decisions he or she makes,none of these,D
414,"A ethical issue is a problem, situation, or opportunity requiring an individual, group, or organization to choose among several actions that must be evaluated as right or wrong.",Crisis,ethical issue,indictment,none of these,B
415,Which of the following ethical theories emphasizes the importance of cultivating virtuous character traits?,Utilitarianism,Deontological ethics,Virtue ethics,Care ethics,C
416,The progress of human consciousness is the fact of:,Yes,No,Not yet,Of course,C
417,Two Factor Theory is also known as:,theory x and y,motivation hygiene theory,achievement theory,none of these,B
418,The law for working journalists and other employees has been passed in the year 1955.,1950,1955,1960,none of these,B
419,Mary Parker Follet believed that leaders are not born but also developed through proper training in human behavior.,mary parker follet,f.w.taylor,c.k. prahlad,peter f. drucker,A
420,"The Global Compact is a document that outlines principles for doing business globally in the areas of human rights, labour, the environment, and anticorruption.",A code of ethics,The Global Compact,The Foreign Corrupt Practices Act,none of these,B
421,One classic example of whistle-blowing is the:,Ford Pinto case,Lincoln case,Toyota case,none of these,A
422,Indian life has four fundamental goals.,three,five,four,none of these,A
423,"Identify the term that refers to a post-study interview in which all aspects of the study are revealed, reasons for deception are given, and the participants' questions are answered.",Debriefing,Keeping participants from harm,Maintaining consent forms,Full anonymity,A
424,Active euthanasia occurs when medical professionals ____________ do something that causes the patient to die.,methods,consent,person,illnes,A
425,Which ethical principle states that individuals should be treated fairly and equally?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of justice,D
426,Paternalistic leadership is also referred to as fatherly leadership.,autocratic,participative,free rein,paternalistic,C
427,In which theory of punishment is the offender treated merely as a means to the good of others?,To prevent or deter the offender from committing similar offence,To prevent or deter others from committing similar offence,Both a and b,Neither a nor b,C
428,"If duties and authority are shown in the organizational structure of the enterprise, then it is called:",informal delegation,formal delegation,written delegation,none of these,C
429,It is aimed to obtain facts needed for understanding and resolving value issues.,normative inquiry,conceptual inquiry,descriptive inquiry,none of these,A
430,What is the difference between ethics and morals?,"Ethics are codes, morals personal",The obligation of individuals and organizations to act in their own self-interest,The obligation of individuals and organizations to follow laws and regulations,The obligation of individuals and organizations to maximize profits,A
431,It has been estimated that about ____________ each year result from euthanasia in the Netherlands.,Deliberately,Passively,2300,None of these,C
432,The applied dimension of Ethics is known as:,applied ethics,normative ethics,meta ethics,none of these,A
433,"Ethics deals with the ""____________ of human beings living in societies.""",Conduct,Duties,Rights,Desires,A
434,"In ordinary language, desire and ____________ are synonymous.",self-satisfaction,good,beauty,wish,C
435,"""We advocate truthfulness, accuracy, honesty, and reason as essential to the integrity of communication."" This is a commitment that would most likely be found in a:",mission statement,code of ethics,code of conduct,none of these,C
436,____________ is an effective desire.,Will,wish,Motive,Conduct,B
437,IPC is a document that lists all the cases and punishments that a person committing any crimes is liable to be charged with.,rti,ipc,pci,none of the these,C
438,Which of the three ethics approaches says research ethics should be a matter of the individual's conscience?,Professional responsibility,Fairness and justice,Professional development,None of the above,A
439,Ethics deals with the right actions of individuals.,sincerity,rules,ethics,none of these,D
440,The framework for establishing good corporate governance and accountability was originally set up by:,Bentham,Bentham,T. H. Green,none of these,D
441,The belief that businesses should be responsible because such actions are right for their own sake is known as which argument for social responsibility?,placing members of society on welfare,protecting and improving society's welfare,minimizing the welfare of society in exchange for profits,none of these,A
442,Which of the following factors shapes the ethical behavior of the members of an organization?,An individual,A body corporate,A firm,All of the above,D
443,Which among the following mental processes does psychology deal with?,Knowing,Feeling,Willing,All of these,D
444,The PCI is considered the toothless tiger.,watchdog,toothless tiger,watchdog group,none of these,A
445,Kant's second maxim shows:,Treat personality as of absolute worth,"A person is an end in himself, and not a means",The rational nature which constitutes humanity should be respected.,All of these,D
446,Which of the following approaches says that ethical issues should be judged on the basis of some universal code?,Utilitarian approach,Deontological approach,Approach based on justice,None of the above,B
447,Which term refers to publishing several articles from the data collected in one large study?,Fragmented publication,Partial publication,Triplicate publication,None of these,A
448,The first step in the auditing process should be to secure the commitment of:,employees,top executives and directors,stockholders,customers,A
449,"""It is wrong to break a promise because as a moral law it cannot be universalized."" This illustrates the ethical position of:",Kant,J. S. Mill,Bentham,Spencer,A
450,"According to Kant, the moral imperative is:",evolutionary,hypothetical,categorical,all these,C
451,"Kant says, we are autonomous when we act according to:",Duty,Feeling,Pleasure,inclination,A
452,Which ethical theory is based on the principle of maximizing happiness and minimizing suffering?,The principle of beneficence,The principle of non-maleficence,The principle of autonomy,The principle of veracity,D
453,"Due to pressure, through time limits, availability of money or budgetary constraints, and technology decay or obsolescence:",opportunity,attitude,resource crunch,none of these,C
454,Ethics deals with:,What is,what ought to be,both a and b,neither a nor b,B
455,Which of the following is not usually the objective of a code of ethics?,Political justice,Cultural justice,Social justice,None of these,C
456,Which of the following is an example of a moral dilemma?,Maximizing happiness,Conflicting moral obligations,Virtue and character,Acting out of duty,B
457,Whose work is Critique of Practical Reason?,Immanuel Kant,Jeremy Bentham,J.S. Mill,F. H. Bradley,A
458,Authority and responsibility are complementary to each other.,supplementary,complementary,contradictory,none of these,B
459,____________ is the power of resisting the fear of pain and the temptation of pleasure.,Pleasure,Happiness,Prosperity,None of these,B
460,Vertical co-ordination refers to co-ordination between activities of a manager and his subordinates.,vertical co-ordination,horizontal co-ordination,diagonal co-ordination,none of these,A
461,"According to Bradley, the Supreme Duty is:",The development of personality,Actualization of immense potentialities of the self,Both a and b,Self-gratification,C
462,Which theory of punishment appears to justify the law of 'an eye for an eye and a tooth for a tooth'?,Retributive theory,Reformative theory,Deterrent theory,Deontological theory,B
463,A personality measure of the strength of a person's convictions is called ego strength.,locus of control,ego,ego strength,none of these,A
464,Which ethical principle requires that health care providers prioritize the well-being of their patients?,Beneficence,Non-maleficence,Autonomy,Justice,A
465,"According to Hedonism, hedone or ____________ is the ultimate standard of morality.",Pleasure,Will,Good will,reason,A
466,____________ is not against the law in Michigan.,Involuntary,Non-voluntary,Assisting suicide,None of these,C
467,What is an entrepreneur who is doing business worldwide called?,International entrepreneur,Jacques and Patchen,Milton Friedman,None of these,A
468,"The term ethics refers to principles, values, and beliefs that define right and wrong behavior.",customer satisfaction,empowerment,innovation,ethics,B
469,Which of the following generally cannot be done in qualitative studies conducted in the field?,Get informed consent,Code of ethics,Ethical dilemma,Work standards,A
470,Predictive control aims at visualizing and identifying deviations before they actually occur.,predictive control,concurrent control,operational control,none of these,A
471,"Directing means issuing orders, instructions, and commands.",directing,unity of command,authority,none of these,A
472,Globalization has become relevant with the development of world trade.,globalization,standardization,both a & b,safety,A
473,"When you are given information in confidence, this usually means that you promise that you will not tell anyone else where you got it from: confidentiality.",loyalty,confidentiality,honesty,none of these,C
474,"There must remain a realm of private morality and immorality that is, in brief and crude terms, not the law's business.' This view is widely accepted among which group?",liberalists,conservatives,feminists,none of these,A
475,One whistle-blower the text mentions is Cynthia Cooper who was the vice president of internal audit at:,Enron,WorldCom,Tyco,none of these,B
476,A mission statement sets out the purpose and general direction for the organization.,Mission statement,Purpose statement,Vision,none of these,B
477,A company whose shares are easily transferred is a:,Private company,Public company,Stakeholder company,Legal company,B
478,____________ may be defined as a systematic and more or less complete body of knowledge about a particular set of related events or objects.,Science,Art,Ethics,Epistemology,A
479,Ethics and ____________ go together.,Fulfill public expectations for business,Prevent harming others,Improve business relations and productivity,All of these,D
480,"'The laws prohibiting abortion do not stop abortions, but merely drive them underground.' Who argues this position?",methods,consent,person,illnes,C
481,Technology transfer is a process of moving technology to a new setting and implementing it there.,ethical pluralism,ethical egoism,ethical relativism,none of the these,C
482,Accuracy means freedom from mistake or error.,perseverance,accuracy,discernment,none of these,C
483,"Productivity work ethic is important because when you are at work, you are expected to perform your duties without wasting time or getting paid for doing very little.",loyalty,organizational skills,productivity,none of these,B
484,"Stakeholder term includes employees, customers, suppliers, and the wider community.",stock holder,stake holder,both of these,none of these,B
485,"According to Kantian ethics, the most important consideration in making ethical decisions is:",Deontological,Utilitarian,Virtue ethics,Egalitarian,A
486,Simulation testing is done on a proportional scale model with all vital components fixed in the system.,codes of ethics,word of ethics,ethical dilemma,none of the these,A
487,Most companies begin the process of establishing organizational ethics programs by developing:,ethics training programs,codes of conduct,ethics enforcement mechanisms,hidden agendas,B
488,Which of the following does the term Corporate Social Responsibility relate to?,Ethical conduct,Environmental practice,Community investment,All of the above,D
489,Publishing wrong information on the Internet is:,an issue of Computer ethics,an issue of Morality,an issue of Computer equity,None of these,A
490,"A code of ethics specifies methods for reporting violations, disciplinary action for violations and the structure of the due process to be followed.",code of ethics,business ethics,all of these,none of these,A
491,The ethical theory of Aristotle is popularly known as:,Rational,Emotional,Obedience,Hereditary,B
492,The Sarbanes-Oxley Act was a direct response to which ethics scandals?,Tyco,WorldCom,Enron,none of these,C
493,Kant is an advocate of:,Teleological ethics,Ontological ethics,Jural ethics,Utilitarian ethics,C
494,"Reliability is the degree to which others can depend on us. Like reputation, it can take a lifetime to build and only seconds to destroy.",likability,persuasiveness,reliability,none of these,A
495,"When we say that conduct is right, we mean primarily that:",it is according to truth,it is according to rule,it is according to law,none of these,B
496,Peter F. Drucker developed the concept of Management by Objectives.,a.h.maslow,douglas mc. gregor,herzberg,peter f. drucker,D
497,Ethics deals with the correctness of:,conduct,thought,perception,intuition,A
498,Destructive testing is done till the component fails.,laws,rules,practice,none of the these,A
499,____________ are beliefs about what is right and wrong or good or bad.,morals,motivators,cultures,ethics,D
500,Compliance is about obeying and adhering to:,rules and authority,discipline,laws,none of these,A
501,The traits or qualities that are considered as valuable are known as:,culture,values,ethics,none of these,B
502,The Indian model of management is:,value-driven holistic,rational holistic,hybrid,none of these,D
503,Operational guides to action is known as:,policies,procedures,plan,none of these,C
504,MBO gives emphasis on:,top management,middle management,objectives,none of these,D
505,"To access public risk, voluntary risk are estimated.",voluntary risk,involuntary risk,faulty risk,none of the these,C
506,"Right to Information act came into force in October 12, 2005.",38637,38626,38378,none of these,A
507,"Bentham, by introducing ____________ as a dimension of pleasure, introduced altruism into his doctrine.",Intensity,proximity,Extent,Fecundity,C
508,Aparigraha means:,non killing,non possession,non stealing,none of these,A
509,Who formed the ICGN?,European governments,US shareholders,Pension funds,Stock markets,C
510,What is meant by the phrase CSR?,Corporate Social Responsibility,Company Social Responsibility,Corporate Society Responsibility,Company Society Responsibility,A
511,The CMA supports ____________ is morally permissible in certain circumstances.,Practical euthanasia,Voluntary euthanasia,Passive euthanasia,Active euthanasia,C
512,Which board of directors committee is responsible for the guidelines on how the board of directors should operate?,Operating,Corporate governance,Corporate compliance,none of these,B
513,Which of the following is a basic definition of ethics?,moral guidelines for behaviour,rules for acknowledging the spirit of the law,rules or principles that define right and wrong conduct,none of these,D
514,____________ is a formed habit.,Custom,Desire,Wish,Character,A
515,"According to Immanuel Kant, what is the basis for moral obligation?",Consequences,Emotions,Reason,Self-interest,C
516,"If you don't have honesty, you can really get in trouble for lying, cheating or deceiving others.",communication,cooperation,honesty,integrity,A
517,The HR policy which is based on the philosophy of the utmost good for the greatest number of people is covered under the:,Utilitarianism,Deontology,Virtue ethics,None of these,A
518,Ethical skepticism is the position of:,hegel,hume,j s mill,carnap,A
519,What is meant by the phrase 'teleological ethics'?,"Is used to judge if an action is right, fair, and honest",An action can only be judged by its consequences,Developing the individual's personal characteristics,none of these,B
520,Who are organizational stakeholders?,Ethical conduct,Environmental practice,Community investment,All of these,D
521,Justice and fairness of a result of a decision is often classified as:,descriptive justice,procedural justice,distributive justice,severance justice,C
522,Which ethical principle requires individuals to act in the best interest of others?,Autonomy,Beneficence,Justice,Non-maleficence,B
523,The advocates of the human behavior approach view management as the direction of the activities of a group of people towards the accomplishment of common objectives.,empirical,management science,system,human behavior,C
524,The adjustment of internal relations to external relations is the basic postulate of the ethical theory of:,Kant,J. S. Mill,Bentham,Spencer,A
525,Who proposed the three postulates of ethics?,Kant,Rashdall,Aurobindo,Descartes,A
